year,t_sum,ws_sum,t_col,ws_col
1979,-38.736136,51.260188,-32.606762,43.232212
1979,-40.718466,47.770139,-33.745764,40.352295
1979,-38.025879,46.781762,-32.719367,38.136315
1979,-35.667564,57.643736,-32.189064,45.514325
1979,-33.813833,65.986588,-30.328468,52.690312
1979,-33.168026,66.178095,-29.259644,56.021937
1979,-32.592711,62.239652,-28.081889,52.154977
1979,-30.997628,67.619108,-26.931767,57.363687
1979,-31.100915,66.629537,-27.238283,53.62457
1979,-31.163478,62.203943,-27.144798,50.09858
1979,-32.067647,61.734512,-27.587091,48.544142
1979,-31.148601,59.310951,-27.011963,47.383019
1979,-31.179463,60.141504,-28.033076,46.388367
1979,-31.57874,61.196099,-29.83746,46.944746
1979,-32.100124,59.827782,-29.076849,48.345078
1979,-34.505383,57.067338,-30.315372,46.389099
1979,-34.020609,59.992804,-29.839135,51.09156
1979,-33.538493,64.472009,-30.087023,53.888095
1979,-34.727217,58.649884,-30.607314,47.352309
1979,-33.059497,59.888721,-30.376777,47.865439
1979,-35.162435,58.29148,-31.456499,46.258802
1979,-38.082187,46.3108,-33.96922,39.742763
1979,-39.237259,37.808435,-34.817695,31.017585
1979,-40.308629,33.793902,-34.511414,28.987766
1979,-40.898601,27.920352,-33.366183,25.329312
1979,-40.599718,22.47955,-33.596059,18.684006
1979,-38.358693,26.142635,-31.423231,22.5624
1979,-37.176166,28.434538,-30.897123,22.300266
1979,-35.938943,35.684534,-30.431961,29.364821
1979,-36.211026,39.43245,-29.80577,31.912011
1979,-35.808845,39.935221,-29.855398,31.511
1979,-35.113495,38.05843,-29.270553,30.264569
1979,-35.887651,39.55069,-29.216551,33.22844
1979,-36.43699,39.588358,-30.488768,31.610296
1979,-35.275311,43.639478,-30.239354,33.759592
1979,-35.139918,42.528589,-30.566544,34.441019
1979,-38.159851,35.231455,-31.556634,27.297484
1979,-38.625239,30.491267,-31.451892,27.050985
1979,-37.912473,33.185149,-31.950802,26.519324
1979,-39.380444,28.523185,-32.365759,25.026298
1979,-41.348183,29.733786,-35.468185,29.320343
1979,-42.078302,26.432902,-38.113588,18.379815
1979,-42.362489,20.452631,-37.758545,12.864536
1979,-42.290261,22.367104,-36.365101,14.785886
1979,-44.236483,17.216695,-37.437515,15.816898
1979,-44.430355,18.525741,-37.290696,17.497434
1979,-44.558327,18.186678,-37.028126,18.29836
1979,-44.007476,20.597454,-37.216268,17.184511
1979,-44.11094,22.493204,-37.536838,16.611744
1979,-44.771404,24.585702,-37.402222,22.584975
1979,-43.969875,24.985072,-36.374831,22.325031
1979,-43.444073,25.483193,-35.905049,21.6767
1979,-43.991571,14.220499,-36.598161,14.344052
1979,-45.254799,14.726996,-37.905979,13.925479
1979,-43.217467,17.636962,-37.642029,9.896386
1979,-41.023833,27.53527,-35.362926,16.956451
1979,-40.859498,27.665562,-35.751442,17.999981
1979,-40.831839,30.883251,-35.190847,23.669882
1979,-41.455564,29.025693,-35.252866,23.433771
1979,-39.579031,27.818614,-33.713145,22.311068
1979,-39.959316,18.980366,-32.830603,14.617916
1979,-39.972961,18.496443,-33.063938,15.43228
1979,-39.224214,24.601861,-32.665915,20.983677
1979,-37.235778,31.750383,-31.701419,26.68871
1979,-37.712916,30.395834,-31.673054,23.957674
1979,-37.272276,33.473465,-31.863549,24.492991
1979,-36.386652,33.945415,-31.303118,23.673325
1979,-35.170576,34.221426,-29.997564,24.487797
1979,-34.758386,36.124483,-28.944175,25.373943
1979,-35.268132,32.24445,-29.412369,24.238834
1979,-34.662674,27.845393,-28.714752,22.586897
1979,-35.087583,28.652507,-28.723981,23.675079
1979,-35.260354,32.59869,-28.753578,24.40692
1979,-34.085494,30.719458,-27.848961,24.021409
1979,-35.618338,37.382526,-29.582786,29.920718
1979,-35.723612,40.053667,-28.968609,35.806098
1979,-36.175634,39.923618,-29.199662,34.930509
1979,-35.884793,39.176555,-30.149607,33.579836
1979,-36.529392,37.998404,-30.335029,31.052943
1979,-35.017562,38.879936,-30.254188,30.803953
1979,-33.17721,41.138424,-28.908737,30.458672
1979,-32.988311,37.340441,-27.736054,30.763558
1979,-33.754088,39.579861,-27.830461,30.200943
1979,-35.207286,32.941177,-28.772225,25.477285
1979,-36.004181,27.315966,-29.418164,19.336077
1979,-36.487621,30.787551,-29.953632,24.587727
1979,-35.501932,34.995711,-29.617634,27.591465
1979,-35.88102,40.268139,-30.220331,35.091655
1979,-36.12936,45.834673,-30.567701,37.768225
1979,-38.309981,42.572136,-32.045287,38.078034
1979,-37.934056,44.660181,-31.614416,40.121213
1979,-38.125973,48.467711,-32.118182,40.718562
1979,-39.769483,47.689182,-34.440935,41.76514
1979,-39.012761,50.337178,-34.459693,44.204046
1979,-39.325514,47.719489,-34.480157,37.345039
1979,-39.366662,45.281598,-34.878157,36.120203
