elev,lat,lon,yrst,yrstp,notes
230.1,50.61,26.14,1959,2019,
178.6,50.4,30.45,1932,2019,
157.6,50.6,30.19,2004,2019,
130.1,50.35,30.89,1961,2019,
326.4,49.81,23.95,1928,2019,
95.1,47.87,28.21,2010,2019,
124,48.03,33.21,1948,2019,
173,47.02,28.98,1936,2019,
52.4,46.43,30.67,1932,2019,
121.6,46.93,28.93,1999,2019,
113,45.88,28.23,1959,2019,
181,44.68,34.13,1936,2019,
156.7,51.81,39.23,1932,2019,
194,51.05,40.7,2012,2019,
201,51.63,45.45,2007,2019,
152.1,51.57,46.04,1932,2019,
50,50.95,46.96,1962,2019,
154.8,49.93,36.29,1932,2019,
13,49.78,48.53,1963,2019,
146.9,48.78,44.34,1932,2019,
5,48.07,46.11,1961,2019,
34,48.22,46.73,1936,2019,
113.7,47.87,35.31,1958,2019,
9,47.93,44.7,1960,2019,
-10,47.9,48.8,1959,2019,
70,47.03,37.5,1936,2019,
152.7,46.37,44.33,1959,2019,
36,45.04,39.17,1932,2019,
452.9,45.11,42.11,1959,2019,
64,52.38,50.46,1961,2019,
286.2,50.04,82.49,2007,2019,
38.1,51.15,51.54,1932,2019,
118,51.8,55.45,1932,2019,
355.1,51.02,71.46,1932,2019,
224.9,50.25,57.2,1932,2019,
538,49.67,73.33,1948,2019,
-20.1,46.28,48,2004,2019,
865,40.15,44.39,2004,2019,
1524,40.75,43.85,2004,2019,
186,48.73,56.03,1953,2019,
0,47.63,64.58,1982,2019,
346,47.8,67.71,1948,2019,
0,46.87,51.25,1959,2019,
56,46.78,61.66,1948,2019,
125,52.2,77.07,1932,2019,
978,50.28,85.61,1960,2019,
401,49.2,84.51,1953,2019,
443,45.33,78.01,1959,2019,
263,53.32,69.6,2005,2019,
680.9,43.35,77.04,1996,2019,
179.2,55.41,37.9,1999,2019,
53,45,37.34,1959,2019,
220,44.62,40.08,1961,2019,
321.3,44.23,43.08,1955,2019,
569,43.68,40.2,2009,2019,
27.1,43.45,39.95,1959,2019,
68,42.18,42.48,2005,2019,
445.3,43.51,43.63,1948,2019,
703,43.03,44.68,1932,2019,
32,41.61,41.6,1932,2019,
427,41.75,44.76,1959,2019,
2700,43.07,42.75,2011,2019,
490,41.67,46.65,1948,2019,
1917,40.57,45,1996,2019,
3.7,42.82,47.65,2004,2019,
15,40.62,47.15,1959,2019,
854,40.15,44.38,2001,2019,
338,40.82,47.73,2012,2019,
85,40.42,49.78,2006,2019,
872.6,39.19,45.45,2006,2019,
3,40.47,50.04,1959,2019,
277.1,51.07,58.59,2004,2019,
71,39.77,47.75,1959,2019,
-12,38.73,48.83,1932,2019,
22.3,43.86,51.09,1932,2019,
129,44.77,65.53,1932,2019,
-21.9,47.12,51.82,2004,2019,
85,40.06,53,2004,2019,
442,40.22,69.69,2004,2019,
228.9,39.78,64.48,2004,2019,
416.1,38.83,65.92,2006,2019,
599,39.03,66.78,2008,2019,
456,43.7,73.78,1959,2019,
422.1,42.36,69.47,1948,2019,
665.7,42.85,71.3,2007,2019,
808,42.48,70.3,1959,2019,
627.3,43.06,74.47,2004,2019,
77,42.48,59.63,2004,2019,
97.5,41.58,60.64,2004,2019,
238,41.73,64.61,1959,2019,
431.9,41.26,69.28,1932,2019,
221.9,37.62,61.89,2005,2019,
82.9,41.76,59.82,2005,2019,
477,40.73,72.33,1959,2019,
341,40.13,65.35,1960,2019,
345,40.12,67.83,1948,2019,
474,40.98,71.58,1948,2019,
892.1,40.61,72.79,1996,2019,
603.5,40.37,71.75,1948,2019,
677.9,39.7,66.98,1948,2019,
3143,39.57,68.58,1961,2019,
3373,39.08,68.86,1961,2019,
784.9,38.54,68.82,1932,2019,
210.9,37.99,58.36,1932,2019,
313,37.29,67.31,1948,2019,
451.1,37.02,41.19,1950,2019,
47.9,35.4,35.94,1950,2019,
615.7,33.41,36.51,1937,2019,
26.5,33.82,35.48,1932,2019,
934,32.97,35.5,1950,2019,
8.5,32.81,35.04,1949,2019,
281,32.98,35.57,2004,2019,
13,32.12,34.78,2004,2019,
35,32,34.81,1979,2019,
41.1,32.01,34.88,1943,2019,
815,31.77,35.21,2008,2019,
280,31.25,34.8,2008,2019,
454.8,29.94,34.93,1983,2019,
12.8,29.56,34.96,1951,2019,
685.8,32.54,38.19,1963,2019,
619,32.55,35.85,1978,2019,
676.7,32.16,37.14,1964,2019,
682.8,32.36,36.25,1953,2019,
778.8,31.97,35.99,1949,2019,
730,31.72,35.99,1983,2019,
-350,31.03,35.46,1983,2019,
1069,30.17,35.78,1961,2019,
53.3,29.61,35.01,1961,2019,
854.4,31.69,38.73,1951,2019,
552.6,30.91,41.13,1951,2019,
509.6,31.41,37.27,1984,2019,
689.2,29.79,40.1,1973,2019,
449.3,29.63,43.49,1951,2019,
357.8,28.34,46.12,1951,2019,
777.5,28.37,36.61,1973,2019,
1015.3,27.44,41.68,1973,2019,
20.1,26.2,36.47,1973,2019,
623,26.29,38.06,2010,2019,
922.3,24.45,44.12,2004,2019,
12,26.43,49.8,2004,2019,
25.6,26.27,50.15,1946,2019,
7.9,27.04,49.4,2000,2019,
179.2,25.29,49.48,1981,2019,
655.6,24.55,39.7,1958,2019,
923,26.98,44.11,1981,2019,
624.5,24.96,46.69,1983,2019,
634.6,24.71,46.72,1958,2019,
7.9,24.14,38.06,1973,2019,
232.4,29.37,46.96,2007,2019,
143.9,29.35,47.52,2019,2019,
7.5,29.38,48,2001,2019,
62.8,29.23,47.96,1945,2019,
7.1,29.45,48.33,1949,2019,
8.5,28.68,48.65,2002,2019,
373,36.37,42.48,1988,2019,
216.1,36.31,43.14,1937,2019,
323.4,35.47,44.34,1937,2019,
228.3,35.77,43.12,2005,2019,
177.5,34.38,41.01,1988,2019,
6.1,30.94,46.09,2005,2019,
408.7,36.23,43.96,2009,2019,
44,33.83,44.53,2007,2019,
34.7,33.27,44.23,1937,2019,
49.1,33.94,44.36,2005,2019,
188.4,33.79,42.44,2019,2019,
137.5,34.67,43.54,2005,2019,
19,32.5,45.81,1988,2019,
14,32.47,46.71,2009,2019,
32,31.95,44.31,1963,2019,
3.4,30.55,47.66,1937,2019,
2.6,30.52,47.78,1989,2019,
32,39.65,47.91,1989,2019,
1213.4,38.43,44.97,1973,2019,
410,27.37,53.18,2010,2019,
152.4,37.38,55.45,2012,2019,
1359.1,38.13,46.23,1957,2019,
1324.1,37.67,45.06,1949,2019,
662,27.82,52.35,2009,2019,
22.3,26.81,53.35,2009,2019,
1478,37.35,46.16,1991,2019,
-12.2,37.33,49.6,1973,2019,
1079.9,37.49,57.3,1977,2019,
1493,36.25,46.26,1973,2019,
1640.4,36.77,48.35,1973,2019,
1007.4,35.42,51.15,2004,2019,
1275.3,36.24,50.04,1973,2019,
-21.3,36.91,50.68,1973,2019,
32.6,37.25,55.1,2004,2019,
-7.3,36.91,54.4,1973,2019,
908.3,36.17,57.59,1963,2019,
994.6,36.24,59.64,1944,2019,
1378.3,35.25,47,1973,2019,
1207.6,35.69,51.31,1943,2019,
1117.1,35.59,53.49,1973,2019,
1451,35.27,59.21,1973,2019,
1305.8,34.35,47.15,1957,2019,
1661.8,34.14,49.84,1943,2019,
2.4,30.56,49.15,2004,2019,
31,26.52,53.98,1996,2019,
13,25.9,54.53,1996,2019,
1184,33.43,48.28,1996,2019,
1271,35.78,50.82,2004,2019,
12.5,26.75,55.89,2004,2019,
792.5,27.67,54.38,2004,2019,
10.7,36.64,53.19,2005,2019,
1056.1,33.9,51.57,1973,2019,
704.7,33.67,56.89,1965,2019,
83,32.27,48.41,1996,2019,
2049.2,32.3,50.84,1973,2019,
1545.9,32.75,51.86,1948,2019,
1509.4,32.9,59.26,1963,2019,
20.1,31.34,48.76,1973,2019,
361.8,32,49.27,1973,2019,
2004,31.18,52.66,1977,2019,
1235.7,31.91,54.27,1957,2019,
496.2,31.1,61.54,1966,2019,
3,30.37,48.22,1943,2019,
26.8,30.75,49.67,1973,2019,
729.7,30.34,50.82,1973,2019,
7,25.87,55.03,1996,2019,
1725,34.28,48.82,2005,2019,
1600,34.9,48.63,2005,2019,
27,27.12,57.1,2005,2019,
1056,34.35,58.68,2005,2019,
1411,39.33,44.43,2008,2019,
1322,34.28,47.12,2005,2019,
8,27.37,52.73,2005,2019,
1748.3,30.27,56.95,1957,2019,
3,29.27,50.26,1973,2019,
1499.6,29.54,52.58,1957,2019,
940,29.08,58.45,1966,2019,
1377.7,29.48,60.9,1957,2019,
20.7,28.95,50.83,1944,2019,
1298.8,28.89,53.72,1973,2019,
6.7,27.22,56.37,1965,2019,
620.9,27.24,60.72,1973,2019,
20.4,26.53,54.82,1973,2019,
5.8,25.65,57.79,1944,2019,
391.4,36.71,67.21,1973,2019,
433,36.67,68.91,1973,2019,
977.2,34.21,62.22,1973,2019,
2183,33.53,65.26,1973,2019,
2550,34.82,67.81,1973,2019,
1791.3,34.57,69.21,1957,2019,
566.9,34.4,70.49,1973,2019,
2183,33.53,68.41,1960,2019,
1007.1,31.51,65.84,1973,2019,
14.6,21.68,39.15,1983,2019,
1477.7,21.48,40.54,1983,2019,
1672.1,20.3,41.63,1983,2019,
628.5,20.5,45.2,1990,2019,
1184.8,19.98,42.62,1983,2019,
2090.3,18.24,42.65,1983,2019,
2065.9,18.3,42.8,1983,2019,
1213.7,17.61,44.41,1983,2019,
720.2,17.47,47.12,1983,2019,
6.1,16.9,42.58,1983,2019,
1.8,26.27,50.63,1944,2019,
6,26.15,51.2,2011,2019,
11,25.62,51.51,2011,2019,
4,25.3,51.55,1983,2019,
10.7,25.26,51.56,1983,2019,
4,25.27,51.6,2014,2019,
39.6,25.12,51.31,2005,2019,
5,24.95,51.56,1984,2019,
8,24.75,50.81,2011,2019,
31.1,25.61,55.93,1983,2019,
10.4,25.26,55.36,1983,2019,
18.9,24.89,55.17,2010,2019,
33.8,25.33,55.51,1944,2019,
46.3,25.11,56.32,1988,2019,
4.9,24.43,54.45,1983,2019,
15.2,24.07,52.46,2008,2019,
23.2,24.25,54.54,2008,2019,
25,24.51,52.33,2008,2019,
50.3,25.03,55.36,2008,2019,
7,25.22,54.23,2010,2019,
26.8,24.43,54.65,1983,2019,
264.9,24.26,55.6,1994,2019,
4,26.22,56.25,1983,2019,
299,24.23,55.78,1983,2019,
4,24.47,56.63,1983,2019,
1755,23.07,57.63,1983,2019,
14.6,23.59,58.28,1944,2019,
3,23.63,58.56,1983,2019,
2764,23.23,57.26,2005,2019,
170,22.35,56.48,1987,2019,
328,22.5,57.36,2001,2019,
14,22.53,59.48,1983,2019,
43,22.3,59.81,2005,2019,
135,21.38,57.05,2014,2019,
133,21.38,57.05,2001,2019,
105,23.5,58.48,2013,2019,
19.5,20.68,58.89,1943,2019,
102,19.52,57.65,2013,2019,
378,22.52,58.11,2014,2019,
25,16.93,54.01,1983,2019,
478.5,17.67,54.02,1983,2019,
881,17.25,54.08,2001,2019,
22.3,17.04,54.09,1943,2019,
2316.5,35.34,75.53,1944,2019,
970,34.82,72.35,2005,2019,
508.4,33.62,73.09,1944,2019,
58.2,27.72,68.79,2005,2019,
188,32.05,72.66,1973,2019,
255,32.5,74.53,2009,2019,
256,32.5,74.53,1944,2019,
1417.3,31.36,69.46,1944,2019,
181.1,31.91,70.89,1944,2019,
215,31.55,74.33,1944,2019,
217,31.52,74.4,1976,2019,
1600.2,30.25,66.93,1944,2019,
121.9,30.2,71.41,1944,2019,
1098,29.88,69.71,1973,2019,
134,29.55,67.88,1957,2019,
113,29.4,71.78,1944,2019,
850,28.88,64.4,1944,2019,
56.4,28.28,68.45,1944,2019,
1002.5,26.96,64.13,1944,2019,
28.3,26.22,68.39,1955,2019,
58,25.07,61.8,1944,2019,
29.3,25.23,62.32,2005,2019,
3.7,25.29,63.34,1944,2019,
41,25.38,68.41,1945,2019,
30.5,24.91,67.16,1942,2019,
55,26.35,88.6,2016,2019,
31,25.8,89.55,2015,2019,
15.2,24.96,91.86,1944,2019,
19.5,24.44,88.61,1981,2019,
13.7,24.15,89.04,1982,2019,
9.1,23.84,90.39,1943,2019,
7.3,23.78,90.38,1945,2019,
6.1,23.18,89.16,1982,2019,
3.7,22.25,91.81,1982,2019,
3.7,21.45,91.96,1946,2019,
1690,33.58,75.08,2003,2019,
230.4,31.71,74.79,1973,2019,
13.4,21.75,72.18,2011,2019,
213.4,29.18,75.75,1944,2019,
2311,29.47,79.65,1944,2019,
236.8,28.57,77.1,1975,2019,
214.9,28.59,77.2,1942,2019,
176.8,28.42,79.45,1944,2019,
167.9,27.16,77.96,1942,2019,
100.6,27.3,94.09,1943,2019,
110.3,27.48,95.01,1942,2019,
218.5,26.25,73.04,1943,2019,
385,26.82,75.81,1944,2019,
188.1,26.29,78.22,1944,2019,
123.4,26.4,80.41,1944,2019,
125,26.76,80.88,1944,2019,
109.7,26.25,81.38,2013,2019,
78.9,26.74,83.45,1944,2019,
125.6,26.68,88.32,1957,2019,
43,26.33,89.46,1943,2019,
49.4,26.11,91.58,1944,2019,
295,25.08,73.08,1945,2019,
273.1,25.16,75.84,1973,2019,
264,25.98,76.36,2001,2019,
244.1,25.49,78.55,1944,2019,
81.1,25.45,82.86,1973,2019,
51.8,25.59,85.08,1944,2019,
891.2,25.7,91.98,2015,2019,
1195,24.6,72.71,1944,2019,
513.3,24.62,73.89,1975,2019,
317,24.57,80.83,1944,2019,
115.8,24.74,84.95,1942,2019,
774.2,24.76,93.89,1944,2019,
81.7,23.29,69.67,1944,2019,
29,23.15,70.11,2004,2019,
14,23,70.21,2003,2019,
57.6,23.08,72.63,1944,2019,
524,23.29,77.33,1944,2019,
495,23.18,80.05,1944,2019,
654.7,23.31,85.32,1944,2019,
1089.1,31.88,77.15,2004,2019,
308.5,30.67,76.78,2006,2019,
3255.9,34.14,77.54,2006,2019,
104.2,11.14,75.95,2010,2019,
915,13.2,77.7,2008,2019,
59,23.65,87.7,2001,2019,
14,23.89,91.24,1945,2019,
426.1,23.84,92.62,2010,2019,
134.4,22.31,70.78,1944,2019,
44,22.57,72.93,1983,2019,
37,22.33,73.26,2003,2019,
563.9,22.72,75.8,1944,2019,
625,22.77,81.9,1944,2019,
274,21.99,82.11,2011,2019,
153.9,22.81,86.16,1973,2019,
4.9,22.66,88.44,1943,2019,
7,22.18,88.2,2001,2019,
318,21.83,76.36,1944,2019,
314.9,21.09,79.04,1944,2019,
300.8,21.52,80.28,1973,2019,
298,21.23,81.65,1996,2019,
317.6,21.18,81.73,1944,2019,
228.9,21.91,84.05,1957,2019,
9.1,20.72,70.92,2015,2019,
598,20.12,73.91,1989,2019,
598,19.97,73.81,2006,2019,
304.5,20.7,77.05,1973,2019,
42.1,20.24,85.81,1957,2019,
8,20.3,86.68,2002,2019,
11.3,19.09,72.86,1944,2019,
12,19.15,72,2017,2019,
582.5,19.86,75.39,1973,2019,
11,18.9,72.81,2003,2019,
482.8,17.63,75.93,1944,2019,
663,17.92,77.53,1944,2019,
531,17.45,78.46,1944,2019,
617,17.23,78.41,2008,2019,
4.6,17.72,83.21,1954,2019,
66,17.7,83.3,1944,2019,
608.4,16.67,74.28,1973,2019,
25,16.53,80.79,1973,2019,
56.1,15.38,73.83,1973,2019,
747,15.85,74.61,2015,2019,
758,15.86,74.61,1973,2019,
661.3,15.35,75.08,2015,2019,
364,14.58,77.63,1954,2019,
659,13.5,75.08,2001,2019,
3,10.85,72.46,2009,2019,
15.8,12.99,80.18,1944,2019,
102.7,12.96,74.89,1973,2019,
888,12.95,77.63,1942,2019,
882,12.95,78.3,1999,2019,
887.6,12.95,77.66,2005,2019,
214,12.92,79.15,1944,2019,
28,12.92,92.91,1973,2019,
25,12.42,92.93,2007,2019,
3,11.12,72.73,1973,2019,
100,11.13,75.95,2009,2019,
403.6,11.03,77.04,1973,2019,
38,11.97,79.81,2009,2019,
79,11.67,92.71,1945,2019,
7.7,10.15,76.4,2006,2019,
181,10.95,78.08,1978,2019,
87.8,10.77,78.71,1944,2019,
2.4,9.95,76.27,1944,2019,
139.9,9.84,78.09,1944,2019,
5,10.58,92.55,2002,2019,
10,9.17,92.83,1973,2019,
14,9.15,92.81,1973,2019,
4.6,8.48,76.92,1996,2019,
2,8.75,78.18,2009,2019,
2234.8,27.4,89.42,2010,2019,
1.8,8.54,81.18,1945,2019,
98.8,8.3,80.42,1962,2019,
117,8.12,80.46,1999,2019,
6.1,7.71,81.67,1957,2019,
8.8,7.18,79.86,1962,2019,
6.7,6.82,79.88,1944,2019,
1880,6.97,80.76,1957,2019,
20,6.12,81.13,1945,2019,
1.8,4.19,73.52,1981,2019,
1.8,-0.69,73.15,1981,2019,
1421,49.65,95.78,1973,2019,
1928,48.77,96,1975,2019,
1723,48.73,98.2,1969,2019,
630,48.42,106.71,1969,2019,
883,49.83,107.73,1973,2019,
1358,46.97,103.8,1973,2019,
1330.1,47.84,106.76,1956,2019,
1093,44.57,107.18,1973,2019,
1494,42.9,100.21,1973,2019,
213,43.18,109.21,1973,2019,
187,28.8,80.55,2005,2019,
720,28.6,81.61,1976,2019,
165,28.1,81.66,2005,2019,
2300,29.28,82.16,1975,2019,
826.6,28.2,83.98,1977,2019,
109.1,27.51,83.41,1977,2019,
137.2,27.16,84.98,1974,2019,
1338.1,27.7,85.35,1973,2019,
1732,27.35,87.66,1978,2019,
71.9,26.48,87.26,1977,2019,
8.5,22.31,113.91,1948,2019,
6.1,22.15,113.59,1951,2019,
13,22.53,114.15,1992,2019,
35,22.47,113.98,2004,2019,
8,22.4,114.2,2004,2019,
79,22.2,114.01,1996,2019,
60,22.18,114.3,2004,2019,
32.6,25.08,121.23,1979,2019,
5.5,25.07,121.55,1946,2019,
7.9,22.58,120.35,1973,2019,
43.6,22.76,121.1,1982,2019,
19.2,22.95,120.2,1947,2019,
202.1,24.27,120.62,1952,2019,
23,40.67,129.2,1957,2019,
22.9,19.94,110.45,2004,2019,
71,38.28,114.69,2004,2019,
36,39.18,127.43,1957,2019,
35.7,39.22,125.67,1950,2019,
90.3,36.4,128.28,1996,2019,
73.5,38.06,128.66,2004,2019,
171,37.93,124.66,1951,2019,
91,37.7,125.7,1993,2019,
77,37.88,127.71,1960,2019,
37,37.5,129.13,1951,2019,
60,37.92,127.05,1953,2019,
10.7,37.75,128.94,1951,2019,
107,38.47,128.46,1993,2019,
87,37.57,126.96,1950,2019,
250,37.78,126.36,1993,2019,
46,37.02,126.05,1993,2019,
13,36.2,126.55,1993,2019,
1407,37.75,128.66,1993,2019,
17.7,37.56,126.79,1945,2019,
12.2,37.52,126.97,1973,2019,
28,37.45,127.11,1974,2019,
7,37.47,126.45,2004,2019,
100.3,37.44,127.96,1954,2019,
144,37.35,127.26,1993,2019,
11.6,37.09,127.03,1953,2019,
792,37.1,128.9,1982,2019,
78.6,36.57,127.5,1991,2019,
85.6,37.03,127.88,1992,2019,
16,36.97,127.03,1951,2019,
58.2,36.72,127.49,1979,2019,
43,37.43,127.63,1973,2019,
78,36.3,127.4,1973,2019,
107.9,36.63,128.35,1977,2019,
141.6,36.57,128.7,1983,2019,
97.6,36.42,128.15,1989,2019,
21.3,35.99,129.42,1973,2019,
10,35.92,126.61,1951,2019,
35.4,35.89,128.65,1950,2019,
61,35.88,128.61,1973,2019,
13.7,35.59,129.35,1973,2019,
1.8,35.18,128.93,1954,2019,
71,35.1,129.03,1973,2019,
8,35.08,128.08,1973,2019,
16,34.98,126.38,2008,2019,
16.2,34.84,127.61,1974,2019,
478,34.47,126.33,2003,2019,
36,33.51,126.49,1973,2019,
27,33.2,126.26,1954,2019,
37,42.98,144.4,1952,2019,
49,42.32,140.98,1952,2019,
25,42.78,141.69,1945,2019,
26.5,42.79,141.66,1988,2019,
9.1,45.4,141.8,1973,2019,
24.4,44.3,143.4,1973,2019,
219.8,43.67,142.44,1973,2019,
114.9,43.8,142.36,1973,2019,
7.6,43.12,141.38,1973,2019,
41.1,43.88,144.16,1973,2019,
71.3,43.58,144.96,1973,2019,
46,41.77,140.82,1973,2019,
99.7,43.04,144.19,1973,2019,
153.9,42.73,143.21,1973,2019,
85.6,42.89,143.15,1981,2019,
46.3,40.56,141.46,1973,2019,
202.4,40.74,140.69,1973,2019,
95.4,39.62,140.21,1973,2019,
90.5,39.43,141.13,1973,2019,
107.6,38.41,140.37,1973,2019,
372.2,37.23,140.43,1995,2019,
4.6,38.14,140.91,1973,2019,
4,37.95,139.11,1973,2019,
35.1,40.7,141.36,1996,2019,
89,40.19,140.37,1980,2019,
26.2,38.81,139.78,1992,2019,
2.1,38.41,141.22,1948,2019,
39,35.39,136.87,1973,2019,
4.6,34.86,136.8,2005,2019,
15.8,35.26,136.92,1946,2019,
142,35.75,139.35,1999,2019,
89.9,35.84,139.41,1946,2019,
395,36.43,138.95,2009,2019,
7,34.81,138.29,1973,2019,
6,35.4,139.91,1973,2019,
36,35.68,139.76,1952,2019,
10.7,35.55,139.78,1946,2019,
31,35.68,139.72,1990,2019,
103.6,32.48,130.15,2004,2019,
218.8,37.29,136.96,2004,2019,
50.9,35.45,139.45,1996,2019,
111.9,35.51,139.39,1954,2019,
45.7,34.75,137.7,1973,2019,
44,35.67,139.53,1954,2019,
43,35.77,140.38,1978,2019,
8,35.63,139.85,1973,2019,
3,34.99,139.82,1973,2019,
101.8,36.52,139.87,1973,2019,
11,36.4,136.4,1973,2019,
29,36.65,137.18,1973,2019,
665.1,36.17,137.92,1973,2019,
32,36.18,140.41,1973,2019,
29.9,35.8,140.01,1973,2019,
39.6,34.78,139.36,1973,2019,
135,34.8,138.18,1973,2019,
6.1,35.49,133.23,1948,2019,
178,35.51,134.78,1996,2019,
2.1,34.15,132.23,2004,2019,
15.2,34.79,135.43,1945,2019,
7.9,34.43,135.23,1995,2019,
11.9,34.6,135.6,1973,2019,
90.8,33.66,135.36,1973,2019,
56.1,34.68,131.79,1994,2019,
7,33.93,131.27,1973,2019,
4,34.05,131.05,1973,2019,
2.1,34.04,131.54,1948,2019,
331.6,34.44,132.91,1973,2019,
4.6,35.41,132.89,1973,2019,
245.7,34.76,133.85,1973,2019,
19.8,35.53,134.16,1973,2019,
64.9,34.29,129.33,1980,2019,
29.9,33.88,130.65,1945,2019,
9.8,33.59,130.45,1946,2019,
1.8,33.15,130.3,1999,2019,
20,33.02,129.18,1982,2019,
37.8,30.39,130.65,1952,2019,
16.8,33.69,131.04,1973,2019,
83.2,32.67,128.83,1973,2019,
65.2,31.37,130.84,1945,2019,
276.1,31.8,130.71,1973,2019,
5.8,33.48,131.73,1973,2019,
5.5,33.84,130.94,1973,2019,
78.9,32.08,131.45,1958,2019,
4.6,32.92,129.91,1973,2019,
195.7,32.84,130.85,1973,2019,
6.1,31.88,131.44,1973,2019,
97.2,30.55,130.95,1973,2019,
8.2,28.43,129.71,1973,2019,
6.4,28.32,129.92,1980,2019,
185,34.21,134.01,1973,2019,
7.9,34.13,134.6,1973,2019,
7.6,33.83,132.7,1973,2019,
12.8,33.55,133.66,1973,2019,
21.3,24.47,122.97,1987,2019,
28.3,24.35,124.18,1973,2019,
45.7,24.78,125.29,1973,2019,
16.5,24.83,125.14,1979,2019,
7,26.36,126.71,1974,2019,
3.7,26.2,127.64,1945,2019,
48,26.35,127.76,1999,2019,
75.3,26.27,127.75,1973,2019,
30.8,27.43,128.7,1973,2019,
15.8,27.04,128.4,1979,2019,
50.9,25.85,131.26,1973,2019,
24.4,25.95,131.32,1980,2019,
8,27.09,142.19,1973,2019,
115.2,24.78,141.32,1945,2019,
6.7,24.29,153.97,1973,2019,
409,27.33,97.41,1943,2019,
147,25.37,97.4,1944,2019,
131,24.87,94.91,1973,2019,
113,24.27,97.2,1945,2019,
749,22.93,97.75,1945,2019,
76,21.98,96.1,1947,2019,
220,20.83,95.83,1945,2019,
828,21.3,99.61,1958,2019,
8.2,20.13,92.87,1945,2019,
5,19.42,93.55,1949,2019,
60,18.8,95.21,1950,2019,
11,18.47,94.35,1949,2019,
10,16.77,94.76,1949,2019,
33.2,16.91,96.13,1949,2019,
10,16.75,97.66,1973,2019,
22,16.5,97.61,1949,2019,
17,14.1,98.21,1949,2019,
3,14.12,93.36,1955,2019,
37,12.43,98.6,1949,2019,
47,9.97,98.58,1946,2019,
283.2,19.3,97.97,1954,2019,
1530,19.92,99.03,2006,2019,
399.9,19.89,99.82,1956,2019,
390.1,19.95,99.88,2005,2019,
178.9,17.38,104.64,2005,2019,
137.5,16.12,103.77,2005,2019,
401,19.87,99.76,2009,2019,
335,19.42,100.88,2005,2019,
237,19.12,100.8,1974,2019,
213,18.17,97.93,1954,2019,
318,18.92,99,2007,2019,
315.8,18.77,98.96,1942,2019,
247.2,18.27,99.5,1950,2019,
164,18.13,100.16,1952,2019,
208.8,18.81,100.78,1949,2019,
264,18.87,100.75,2007,2019,
319,18.32,99.28,2007,2019,
264,17.4,101.73,2007,2019,
64,17.62,100.1,1949,2019,
175.7,17.87,102.75,1973,2019,
262.1,17.44,101.72,1954,2019,
176.5,17.39,102.78,1942,2019,
192,17.12,104.05,2007,2019,
172,17.15,104.13,1949,2019,
161.2,17.2,104.11,1975,2019,
148,17.42,104.78,1952,2019,
153,17.43,104.78,2007,2019,
54,17.17,99.86,2007,2019,
210.3,16.7,98.54,1949,2019,
145.7,16.9,99.25,1954,2019,
144,17.23,99.05,1973,2019,
44.2,16.78,100.27,1949,2019,
137.2,16.68,101.19,1950,2019,
82,16.48,99.53,1976,2019,
204.2,16.47,102.78,1949,2019,
140,16.53,104.71,1949,2019,
166,16.33,102.81,2007,2019,
39.4,16.33,100.36,2007,2019,
368,16.75,98.93,1989,2019,
34.4,15.67,100.13,1949,2019,
87,15.35,100.5,2007,2019,
17,15.15,100.18,1987,2019,
184,15.8,102.03,1956,2019,
156,16.07,103.61,2007,2019,
139.9,16.07,103.64,1949,2019,
123.7,15.25,104.87,1949,2019,
179.8,15.23,103.25,1973,2019,
54.6,17.24,99.81,1975,2019,
129.9,15.23,105.03,1973,2019,
129.2,15.09,104.33,2007,2019,
69.7,15.66,101.1,1974,2019,
130,15.32,103.68,1974,2019,
51,15.27,101.2,1974,2019,
3,13.52,100.75,2008,2019,
99,14.75,98.63,1974,2019,
9,14.47,100.13,1949,2019,
11,14.8,100.61,1949,2019,
7,14.3,99.86,2007,2019,
6,13.68,100.76,2007,2019,
24.4,14.08,101.38,1949,2019,
222.2,14.94,102.07,1949,2019,
233.2,14.95,102.31,1973,2019,
145,14.88,103.45,2007,2019,
193,14.72,102.16,1985,2019,
388,14.63,101.31,2007,2019,
29,14.02,99.53,1949,2019,
6,13.67,100.61,2007,2019,
6,13.7,100.56,1995,2019,
4,13.73,100.56,1949,2019,
2.7,13.91,100.6,1942,2019,
15,13.38,100.6,1956,2019,
70.2,13.57,101.45,2007,2019,
2,13.37,100.98,1949,2019,
27,13.17,100.8,1962,2019,
82,13.08,100.88,1995,2019,
5,13.48,99.78,2007,2019,
3.8,13,100.06,1978,2019,
108,12.58,99.73,2007,2019,
18.9,12.64,99.95,1949,2019,
18,12.68,100.98,1949,2019,
45,12.73,101.13,2007,2019,
4,12.6,102.11,1949,2019,
24,12.5,102.16,2007,2019,
3,11.79,99.8,1949,2019,
4,11.77,102.88,1949,2019,
5.5,10.71,99.36,1949,2019,
13,10.33,99.1,1978,2019,
17.4,9.78,98.58,1954,2019,
5,9.47,100.05,1973,2019,
6.1,9.13,99.13,1949,2019,
13.4,8.47,99.95,1949,2019,
3,8.36,100.05,2007,2019,
37,9.1,99.63,2007,2019,
4,8.54,99.94,2005,2019,
25,8.1,98.98,1996,2019,
19.5,9.55,100.06,2005,2019,
32,12.28,102.32,2005,2019,
4,7.58,100.16,2007,2019,
4,8.68,98.25,1976,2019,
25,8.11,98.31,1956,2019,
3,7.53,99.05,1949,2019,
20.4,7.51,99.61,1962,2019,
3.7,7.19,100.6,1942,2019,
