elev,lat,lon,yrst,yrstp,notes
55.2,58.43,12.71,1977,2019,
154.2,57.66,12.28,1977,2019,
98.8,58.46,13.97,1991,2019,
225.9,57.76,14.06,1931,2019,
169.5,57.29,14.13,1977,2019,
93.9,58.4,15.52,1977,2019,
52.4,58.41,15.68,1995,2019,
47,56.28,12.83,1996,2019,
111.6,57.53,15.82,1979,2019,
9.8,58.59,16.25,1977,2019,
4,57.37,17.1,1996,2019,
17,58.4,19.2,2001,2019,
50,57.66,18.34,1931,2019,
47,57.65,18.35,2002,2019,
30.8,56.69,12.82,1977,2019,
10,56.45,12.55,1996,2019,
5,55.38,12.81,2009,2019,
86,55.72,13.21,2016,2019,
71.9,55.53,13.37,1977,2019,
185.9,56.93,14.72,1979,2019,
3,56.2,16.4,1996,2019,
23.2,55.92,14.08,1979,2019,
232,56.83,15.46,2001,2019,
58.2,56.27,15.26,1977,2019,
5.2,56.69,16.28,1935,2019,
39,56.92,18.15,2009,2019,
1009,69.05,20.85,2008,2019,
156,69.13,27.26,2014,2019,
87,61.12,24.31,2008,2019,
487.5,67.02,27.21,2008,2019,
37,60.25,24.05,2008,2019,
161,62.18,22.8,2013,2019,
120,62.92,26.41,2008,2019,
134,61.22,25.13,2013,2019,
114,64.5,26.44,2008,2019,
272,68.17,25.76,2008,2019,
98,61.52,28.18,2013,2019,
240,67.82,27.75,2008,2019,
196.3,67.7,24.84,2005,2019,
6.3,63.95,22.85,2008,2019,
302,68.42,27.41,2008,2019,
11,60.12,20.3,2015,2019,
153,63.45,24.45,2008,2019,
374,68.6,23.58,2008,2019,
76,61.27,25.51,2008,2019,
87,62.8,27.9,2009,2019,
46.4,61.03,28.56,2009,2019,
75,61.45,29.46,2009,2019,
139.5,62.33,23.55,2009,2019,
111.5,61.9,27.88,2009,2019,
84.5,63.82,24.16,2009,2019,
153.3,63.73,25.7,2009,2019,
162.5,64.12,28.33,2009,2019,
11,60.18,19.98,2008,2019,
8,59.87,22.2,2009,2019,
92,61.5,23.76,2013,2019,
214.7,67.17,29.18,2009,2019,
27.5,59.82,22.91,2009,2019,
5.5,60.38,22.1,2009,2019,
3,59.85,23.25,2009,2019,
4.6,61.63,21.38,2008,2019,
21.7,62.2,21.16,2008,2019,
122,61.83,22.46,2008,2019,
85,61,24.5,2008,2019,
76,64.05,24.71,2003,2019,
2,60.37,23.11,2008,2019,
22.8,59.82,23.58,2008,2019,
44.2,60.42,24.4,2008,2019,
23.5,60.4,25.6,2008,2019,
306.5,66.17,29.13,2014,2019,
29,61.15,21.3,2008,2019,
86,61.47,23.75,2008,2019,
270,68,24.21,2014,2019,
83.2,61.7,25.5,2008,2019,
236.5,63.15,31.05,2012,2019,
125,61.05,25.05,2008,2019,
92,61.2,26.05,2008,2019,
93,62.42,22.18,2008,2019,
153,61.85,24.28,2008,2019,
146,61.88,26.1,2008,2019,
80,62.07,28.56,2008,2019,
9.1,60.45,22.18,2008,2019,
117,60.47,23.65,2004,2019,
79.5,61.8,29.31,2008,2019,
2.8,62.93,21.18,2008,2019,
171.4,63.08,24.26,2008,2019,
91.3,63.15,27.31,2008,2019,
165.5,63.38,28.66,2008,2019,
22.5,60.25,20.75,2003,2019,
115,63.23,29.23,2008,2019,
79.5,62.55,29.66,2008,2019,
2,59.92,24.35,2008,2019,
6.4,60.1,24.98,2008,2019,
98,63.32,30.05,2008,2019,
112,64.15,25.41,2008,2019,
115,63.67,28.83,2008,2019,
198.4,64.3,30.16,2008,2019,
23.8,64.62,23.9,2008,2019,
482.7,69.05,20.78,1979,2019,
49.5,64.68,25.08,2008,2019,
197,65.58,28.21,2008,2019,
106.3,69.75,27,1973,2019,
146.6,68.61,27.4,1952,2019,
306.3,68.36,23.42,1998,2019,
165,66.37,29.31,2008,2019,
93,66.53,24.65,2008,2019,
107.4,66.58,26.01,2008,2019,
208,66.72,27.16,2008,2019,
180,67.28,28.18,2008,2019,
248.8,68.08,27.18,2008,2019,
438,68.43,27.45,2008,2019,
254.9,68.48,28.3,2008,2019,
360,67.75,29.61,2008,2019,
762,68.07,24.03,2008,2019,
565.5,67.97,24.11,2008,2019,
252.6,67.97,23.68,1973,2019,
349.5,67.98,24.25,2008,2019,
22,70.08,27.9,2008,2019,
123.5,69.07,27.5,2008,2019,
5.2,60.38,22.55,2008,2019,
87.5,60.6,24.8,2008,2019,
33,60.7,26.81,2008,2019,
5,60.53,27.66,2008,2019,
90,62.23,30.35,2008,2019,
31.7,62.93,22.48,2008,2019,
207.6,63.83,27.21,2008,2019,
123,68.85,28.3,2008,2019,
183.5,67.4,26.61,1917,2019,
85.9,66.77,23.96,1973,2019,
196.6,66.57,25.83,1973,2019,
82.3,66.5,25.71,2008,2019,
221.7,66.83,28.66,1996,2019,
83,62.32,27.9,2013,2019,
12,64.93,25.36,2012,2019,
285,68.9,25.73,2013,2019,
106,69.58,28.9,2013,2019,
341,64.67,28.05,2013,2019,
181,67.65,24.9,2013,2019,
3.1,65.67,24.51,2004,2019,
19,65.38,24.1,2004,2019,
18.6,65.78,24.59,1952,2019,
120,65.42,26.96,1996,2019,
362.8,66.17,29.15,2008,2019,
264,65.99,29.23,1909,2019,
2,64.67,24.4,2008,2019,
7.3,65.03,24.56,2004,2019,
6,65.03,24.8,1973,2019,
14.3,64.93,25.35,1906,2019,
3.8,65,25.4,2008,2019,
9,65.85,24.16,2013,2019,
161,65.98,26.36,2013,2019,
340,68,24.23,2013,2019,
161.5,64.22,27.75,2013,2019,
121.5,69.05,27.75,2013,2019,
225.2,64.93,28.75,2001,2019,
76,69.75,27.01,2013,2019,
147.2,64.29,27.69,1916,2019,
25.3,63.72,23.14,1960,2019,
12,60.17,22.75,2013,2019,
5,64.33,23.45,1901,2019,
11,63.43,21.06,1973,2019,
5.8,63.05,21.76,1917,2019,
46,63.13,23.05,1973,2019,
132,63.08,25.86,1973,2019,
98.5,63.01,27.79,1906,2019,
77,61.2,28.46,1973,2019,
19.2,63.75,22.51,2004,2019,
159.7,62.53,24.21,1973,2019,
91.7,62.69,22.83,1999,2019,
10.1,61.48,21.78,2012,2019,
227,62.52,24.8,2013,2019,
81,62.6,29.71,2013,2019,
121.3,62.66,29.6,1952,2019,
5,62.33,21.18,2013,2019,
139.9,62.4,25.67,1917,2019,
39,61.25,22.35,2012,2019,
156.5,62.77,30.98,2003,2019,
124.8,61.83,22.46,1952,2019,
98,61.52,23.75,1973,2019,
118.9,61.41,23.6,1906,2019,
146,61.86,24.78,1973,2019,
144,61.87,24.81,2012,2019,
100.3,61.69,27.2,1973,2019,
94.8,61.94,28.94,1984,2019,
143,60.65,23.8,1973,2019,
4.5,60.12,21.7,1901,2019,
13.4,61.46,21.8,1952,2019,
88.3,62.9,27.63,2012,2019,
99,60.88,26.93,2013,2019,
9,63.1,21.63,2012,2019,
106.4,61.05,28.14,1973,2019,
104.4,61.05,28.21,2012,2019,
3.9,60.72,21.03,2004,2019,
78.7,60.97,25.63,1973,2019,
103.3,60.9,26.93,1973,2019,
5.5,60.28,27.18,2004,2019,
5.2,60.12,19.89,1917,2019,
49.1,60.51,22.26,1901,2019,
54.6,60.32,24.96,1952,2019,
13.1,60.38,26.96,1952,2019,
4,60.18,24.95,2008,2019,
16,59.5,20.35,2004,2019,
10,59.97,19.95,1973,2019,
6.8,59.78,21.36,1901,2019,
6.5,59.77,22.95,1906,2019,
113,60.52,24.65,2012,2019,
12,59.93,24.01,1973,2019,
7.5,60.18,24.78,2015,2019,
23.3,59.98,25.6,1982,2019,
20.2,59.95,24.93,2012,2019,
27.1,60.2,25.63,2004,2019,
3.5,60.28,26.45,2004,2019,
15.1,60.3,19.13,2004,2019,
24,60.2,24.96,2013,2019,
15,60.75,-0.85,1973,2019,
