,elev,lat,lon,yrst,yrstp
132,822.0,61.0,9.3,1988.0,1988.0
133,10.0,61.033,2.03,1989.0,2019.0
134,142.0,60.383,9.6,1973.0,2019.0
135,223.0,60.817,11.06,1987.0,1990.0
136,207.6,60.194,11.1,1940.0,2019.0
137,132.0,60.8,11.1,2009.0,2019.0
138,255.7,61.183,11.36,1973.0,2019.0
139,185.0,60.617,12.01,2005.0,2019.0
140,361.4,61.3,12.26,1973.0,2019.0
141,56.3,59.3,4.86,1928.0,2019.0
142,48.8,56.55,3.25,1981.0,2019.0
143,16.0,59.917,5.06,1973.0,2019.0
144,26.2,59.345,5.2,1984.0,2019.0
145,22.0,59.067,5.41,2005.0,2019.0
146,8.8,58.877,5.63,1940.0,2019.0
147,72.0,58.95,5.73,2008.0,2019.0
148,65.0,59.483,5.75,1973.0,2019.0
149,24.0,59.85,6.0,2002.0,2002.0
150,25.0,59.167,6.03,2005.0,2019.0
151,66.0,58.517,6.51,1973.0,2019.0
152,14.0,58.117,6.56,1928.0,2019.0
153,8.8,58.099,6.62,1973.0,2007.0
154,94.0,59.111,2.84,2013.0,2019.0
155,138.0,58.017,7.45,1973.0,2019.0
156,989.5,59.817,7.21,1985.0,2019.0
157,13.0,57.983,7.05,1973.0,2019.0
158,562.0,59.5,8.2,2006.0,2019.0
159,8.0,58.067,8.05,1949.0,2019.0
160,977.0,59.833,8.18,1973.0,2019.0
161,17.4,58.204,8.08,1940.0,2019.0
162,15.0,58.4,8.78,1973.0,2019.0
163,109.0,59.967,11.03,2011.0,2019.0
164,5.0,58.633,9.15,1973.0,2019.0
165,19.2,59.566,9.21,1990.0,2019.0
166,275.0,60.05,9.15,2006.0,2019.0
167,173.0,59.617,9.63,2004.0,2019.0
168,294.0,59.9,9.53,1973.0,2006.0
169,141.0,59.183,9.56,1985.0,2004.0
170,5.0,58.85,9.55,1973.0,2019.0
171,169.0,59.667,9.65,1996.0,1996.0
172,15.0,58.967,10.15,1973.0,2019.0
173,8.0,59.75,10.13,2005.0,2019.0
174,7.7,59.033,10.51,1931.0,2019.0
175,87.2,59.187,10.25,1996.0,2019.0
176,15.0,59.317,10.45,1990.0,2019.0
177,142.0,61.206,1.82,2010.0,2019.0
178,53.0,59.379,10.78,1973.0,2019.0
179,10.0,59.15,10.83,2004.0,2019.0
180,42.7,56.083,13.21,2004.0,2019.0
181,516.0,68.417,18.16,2008.0,2019.0
182,512.0,68.433,18.63,1986.0,2005.0
183,425.0,67.5,18.3,2001.0,2019.0
184,393.0,68.217,19.71,1977.0,2003.0
185,459.6,67.822,20.33,1977.0,2019.0
186,313.0,67.132,20.81,1979.0,2019.0
187,337.0,66.95,17.75,1955.0,1977.0
188,360.0,68.05,21.75,1955.0,2016.0
189,17.0,65.55,22.13,1955.0,1977.0
190,7.0,65.833,24.15,1973.0,1977.0
191,376.0,63.183,14.5,1955.0,1977.0
192,360.0,62.033,14.36,1955.0,1977.0
193,4.0,62.533,17.45,1955.0,1977.0
194,26.0,61.267,17.1,1955.0,1977.0
195,198.0,60.15,13.8,1973.0,1977.0
196,46.0,59.367,13.46,1955.0,1977.0
197,6.0,59.583,16.63,1973.0,1977.0
198,21.0,59.883,17.6,1973.0,1977.0
199,15.0,59.35,17.95,1955.0,1977.0
200,54.0,58.433,12.7,1973.0,1977.0
201,32.0,58.75,17.86,1973.0,1977.0
202,12.0,58.4,19.2,1973.0,1977.0
203,360.0,68.05,22.0,1955.0,2004.0
204,259.0,57.717,13.11,1973.0,1977.0
205,226.0,57.767,14.08,1955.0,1977.0
206,4.0,57.367,17.1,1973.0,1977.0
207,51.0,57.667,18.35,1955.0,1977.0
208,166.0,56.867,14.8,1973.0,1977.0
209,14.9,55.6,13.06,1955.0,1974.0
210,72.0,55.55,13.36,1973.0,1977.0
211,34.0,55.433,13.83,1973.0,1977.0
212,458.1,65.806,15.08,1973.0,2019.0
213,256.0,66.6,19.83,1973.0,1977.0
214,180.0,65.867,20.13,1973.0,1977.0
215,320.0,66.883,18.01,1973.0,2019.0
216,283.0,65.0,17.7,1973.0,2013.0
217,278.0,64.967,17.7,1973.0,1986.0
218,275.5,66.496,20.14,1977.0,2000.0
219,27.0,58.617,16.11,1973.0,1977.0
220,42.0,58.783,16.91,1973.0,1977.0
221,275.0,66.483,20.16,1973.0,2019.0
222,182.0,65.875,20.15,1977.0,2019.0
223,169.0,57.3,14.13,1955.0,1977.0
224,680.0,63.967,13.71,1977.0,2003.0
225,195.0,65.12,20.77,1996.0,2005.0
226,43.0,56.083,13.23,1973.0,1977.0
227,58.0,56.267,15.28,1973.0,1977.0
228,5.0,55.383,12.81,1973.0,1977.0
229,36.0,65.867,21.45,2002.0,2002.0
230,62.0,66.267,22.85,1996.0,2019.0
231,19.8,65.544,22.12,1977.0,2019.0
232,393.0,68.217,19.71,1973.0,1977.0
233,583.0,63.283,12.11,1973.0,2019.0
234,550.0,64.5,14.21,2008.0,2019.0
235,680.0,63.967,13.71,1973.0,1977.0
236,376.0,63.2,14.5,1935.0,2019.0
237,214.9,64.548,18.71,1998.0,2019.0
238,575.0,62.8,13.06,1973.0,1977.0
239,10.4,63.049,17.76,1977.0,2019.0
240,349.0,64.583,16.85,2002.0,2002.0
241,107.9,63.408,18.99,1979.0,2019.0
242,184.0,63.15,16.16,1977.0,2004.0
243,7.3,63.792,20.28,1977.0,2019.0
244,36.0,61.267,17.1,1996.0,2012.0
245,25.0,63.333,20.18,1973.0,2001.0
246,10.0,64.917,21.23,1975.0,2003.0
247,47.9,64.625,21.07,1979.0,2019.0
248,36.0,64.483,21.58,1935.0,2003.0
249,869.0,61.883,12.85,1973.0,2019.0
250,583.0,62.8,13.06,1977.0,2005.0
251,110.0,58.1,14.4,1973.0,1973.0
252,362.0,62.05,14.4,2009.0,2019.0
253,19.0,63.05,17.76,2002.0,2004.0
254,46.0,64.633,21.08,1974.0,1974.0
255,107.0,63.4,18.96,1973.0,1974.0
256,4.9,62.528,17.44,1977.0,2019.0
257,33.0,62.367,17.53,1984.0,2005.0
258,68.0,60.6,16.95,1973.0,1974.0
259,153.0,60.433,15.5,1973.0,1973.0
260,40.0,59.35,16.71,1980.0,2003.0
261,36.0,61.267,17.1,1977.0,1998.0
262,27.0,61.45,17.16,2004.0,2008.0
263,5.0,58.583,16.25,1973.0,1977.0
264,23.0,55.917,14.08,1973.0,1973.0
265,75.0,59.667,12.58,1977.0,2004.0
266,306.0,60.683,13.7,2001.0,2019.0
267,308.0,60.683,13.7,1977.0,2011.0
268,72.2,59.676,12.63,1996.0,2019.0
269,46.0,59.367,13.46,1985.0,2008.0
270,107.3,59.445,13.33,1935.0,2019.0
271,46.0,59.367,13.46,1984.0,2006.0
272,57.3,59.224,15.03,1991.0,2019.0
273,193.2,60.958,14.51,1991.0,2019.0
274,119.8,60.158,12.99,2007.0,2019.0
275,153.3,60.422,15.51,1979.0,2019.0
276,33.0,59.267,15.33,1935.0,1982.0
277,10.1,59.387,15.92,2007.0,2007.0
278,6.4,59.589,16.63,1977.0,2019.0
279,15.0,59.383,16.45,2001.0,2019.0
280,22.0,60.883,17.91,1977.0,2002.0
281,16.0,60.717,17.16,1996.0,2019.0
282,20.7,59.897,17.58,1935.0,2019.0
283,41.8,59.652,17.91,1977.0,2019.0
284,13.0,59.867,17.63,2006.0,2019.0
285,14.3,59.354,17.94,1931.0,2019.0
286,22.0,59.35,17.96,1980.0,2002.0
287,493.0,60.383,15.13,2001.0,2019.0
288,54.0,59.183,17.91,2001.0,2019.0
289,5.0,60.533,18.38,2001.0,2003.0
290,40.0,60.283,18.91,1989.0,1989.0
291,14.0,60.167,18.75,1977.0,2004.0
292,42.7,58.789,16.91,1991.0,2019.0
293,22.0,59.35,18.73,1997.0,2019.0
294,36.0,64.483,21.58,2001.0,2006.0
295,24.0,59.55,20.01,1978.0,2005.0
296,12.0,59.45,19.5,1977.0,2019.0
297,12.0,59.45,19.5,2010.0,2019.0
298,14.0,58.1,11.35,1973.0,2005.0
299,41.8,58.318,12.34,1991.0,2019.0
300,61.0,58.466,13.17,2007.0,2012.0
301,18.0,57.775,11.87,1935.0,2017.0
302,379.5,65.59,19.28,1977.0,2019.0
303,12.0,57.267,12.11,2002.0,2004.0
304,55.2,58.426,12.71,1977.0,2019.0
305,154.2,57.663,12.28,1977.0,2019.0
306,0.0,57.117,12.26,1984.0,1984.0
307,98.8,58.456,13.97,1991.0,2019.0
308,225.9,57.758,14.06,1931.0,2019.0
309,169.5,57.292,14.13,1977.0,2019.0
310,93.9,58.402,15.52,1977.0,2019.0
311,52.4,58.406,15.68,1995.0,2019.0
312,47.0,56.283,12.83,1996.0,2019.0
313,111.6,57.526,15.82,1979.0,2019.0
314,9.8,58.586,16.25,1977.0,2019.0
315,42.0,58.783,16.91,1977.0,1980.0
316,4.0,57.367,17.1,1996.0,2019.0
317,10.0,58.967,18.45,1987.0,2016.0
318,76.0,58.95,18.26,2002.0,2003.0
319,32.0,58.75,17.86,1935.0,2006.0
320,3.0,58.6,17.46,1977.0,2008.0
321,12.0,58.4,19.2,1935.0,2006.0
322,8.0,57.9,19.16,1977.0,2002.0
323,17.0,58.4,19.2,2001.0,2019.0
324,50.0,57.663,18.34,1931.0,2019.0
325,47.0,57.65,18.35,2002.0,2019.0
326,4.0,57.367,17.1,1935.0,2002.0
327,40.0,57.3,17.96,2001.0,2004.0
328,30.8,56.691,12.82,1977.0,2019.0
329,10.0,56.45,12.55,1996.0,2019.0
330,72.0,56.3,12.45,1977.0,2005.0
331,18.0,56.283,12.08,1977.0,2008.0
332,11.0,55.867,12.86,1985.0,2005.0
333,5.0,55.383,12.81,2009.0,2019.0
334,2.0,55.517,12.91,2002.0,2002.0
335,8.0,55.383,13.06,2002.0,2004.0
336,52.0,56.083,13.23,1977.0,2003.0
337,86.0,55.717,13.21,2016.0,2019.0
338,71.9,55.53,13.37,1977.0,2019.0
339,5.0,55.333,13.35,1977.0,2004.0
340,34.0,55.433,13.83,1935.0,1983.0
341,185.9,56.929,14.72,1979.0,2019.0
342,3.0,56.2,16.4,1996.0,2019.0
343,10.0,56.667,16.46,2001.0,2016.0
344,55.0,56.017,14.85,1977.0,2005.0
345,23.2,55.922,14.08,1979.0,2019.0
346,112.0,55.667,14.26,1973.0,2003.0
347,232.0,56.833,15.46,2001.0,2019.0
348,58.2,56.267,15.26,1977.0,2019.0
349,5.2,56.686,16.28,1935.0,2019.0
350,3.0,56.2,16.4,2001.0,2005.0
351,39.0,56.917,18.15,2009.0,2019.0
352,52.0,58.483,15.51,2004.0,2007.0
353,30.0,56.067,16.68,1977.0,2007.0
354,1009.0,69.05,20.85,2008.0,2019.0
355,156.0,69.133,27.26,2014.0,2019.0
356,31.5,60.2,24.73,2008.0,2015.0
357,87.0,61.117,24.31,2008.0,2019.0
358,487.5,67.017,27.21,2008.0,2019.0
359,37.0,60.25,24.05,2008.0,2019.0
360,161.0,62.183,22.8,2013.0,2019.0
361,120.0,62.917,26.41,2008.0,2019.0
362,13.0,63.1,21.61,2008.0,2011.0
363,134.0,61.217,25.13,2013.0,2019.0
364,114.0,64.5,26.44,2008.0,2019.0
365,320.0,64.833,28.23,2008.0,2009.0
366,154.0,65.933,26.51,2008.0,2008.0
367,272.0,68.167,25.76,2008.0,2019.0
368,98.0,61.517,28.18,2013.0,2019.0
369,240.0,67.817,27.75,2008.0,2019.0
370,196.3,67.701,24.84,2005.0,2019.0
371,6.3,63.95,22.85,2008.0,2019.0
372,302.0,68.417,27.41,2008.0,2019.0
373,200.0,67.783,24.85,2008.0,2016.0
374,11.0,60.117,20.3,2015.0,2019.0
375,153.0,63.45,24.45,2008.0,2019.0
376,374.0,68.6,23.58,2008.0,2019.0
377,76.0,61.267,25.51,2008.0,2019.0
378,88.0,61.3,28.18,2008.0,2011.0
379,205.0,61.883,25.33,2009.0,2011.0
380,157.0,61.833,28.85,2009.0,2011.0
381,127.0,61.533,28.2,2009.0,2013.0
382,87.0,62.8,27.9,2009.0,2019.0
383,46.4,61.033,28.56,2009.0,2019.0
384,75.0,61.45,29.46,2009.0,2019.0
385,139.5,62.333,23.55,2009.0,2019.0
386,111.5,61.9,27.88,2009.0,2019.0
387,84.5,63.817,24.16,2009.0,2019.0
388,153.3,63.733,25.7,2009.0,2019.0
389,162.5,64.117,28.33,2009.0,2019.0
390,11.0,60.183,19.98,2008.0,2019.0
391,8.0,59.867,22.2,2009.0,2019.0
392,92.0,61.5,23.76,2013.0,2019.0
393,214.7,67.167,29.18,2009.0,2019.0
394,27.5,59.817,22.91,2009.0,2019.0
395,5.5,60.383,22.1,2009.0,2019.0
396,87.2,62.171,27.86,2005.0,2016.0
397,3.0,59.85,23.25,2009.0,2019.0
398,4.6,61.633,21.38,2008.0,2019.0
399,21.7,62.2,21.16,2008.0,2019.0
400,122.0,61.833,22.46,2008.0,2019.0
401,85.0,61.0,24.5,2008.0,2019.0
402,76.0,64.05,24.71,2003.0,2019.0
403,2.0,60.367,23.11,2008.0,2019.0
