elev,lat,lon,yrst,yrstp,notes,reference
831,35.93,64.76,2008,2008,ISD,
899,31.85,64.2,1984,1997,ISD,
14,31.98,44.93,1977,2008,ISD,
209,34.68,-86.68,1977,2001,ISD,
18,39.47,-76.16,1936,2003,ISD,
124.7,28.93,47.78,1977,2008,ISD,
1492,34.93,69.25,1987,2003,ISD,
80.8,35.15,-78.9,1995,2000,ISD,
1299,41.05,-113.06,1991,2003,ISD,
35.4,35.9,128.66,1985,2002,ISD,
93,33.27,-115.41,1985,1997,ISD,
5.2,40.87,141.37,1955,2004,ISD,
750.4,47.62,-117.66,1984,1995,ISD,
378,36.71,67.21,1984,1999,ISD,
389.8,18.97,12.96,1985,2002,ISD,
148,15.18,120.56,1985,2003,ISD,
137.5,64.83,-147.6,1987,1993,ISD,
890,31.9,64.18,1991,2001,ISD,
59,29.97,-81.98,1986,1998,ISD,
1905,-0.07,36.86,1991,2000,ISD,
10.1,6.93,122.06,1977,2001,ISD,
1989,32.8,67.63,1977,1998,ISD,
97.8,38.2,128.53,1977,1991,ISD,
196,37.97,128.08,1979,2000,ISD,
221,38.12,128.03,1980,1992,ISD,
56.1,37.87,127.51,1977,2001,ISD,
841.9,37.68,128.76,1977,2001,ISD,
74.1,37.38,127.3,1979,2001,ISD,
34.8,37.88,126.76,1978,2008,ISD,
203.9,38.25,127.41,1978,2003,ISD,
39.9,36.98,126.46,1976,1999,ISD,
215.8,36.87,128.55,1977,1993,ISD,
32.9,36.5,127.2,1980,1998,ISD,
91.7,36.42,128.15,1980,2001,ISD,
43,36.12,128.36,1979,2004,ISD,
101.8,36.12,127.48,1980,1997,ISD,
25,68.48,16.68,1977,2008,ISD,
2720,32.25,62.95,1991,1998,ISD,
35.7,25.15,51.33,1978,2008,ISD,
634.9,24.57,46.85,1978,1999,ISD,
1199,39.42,-118.7,1978,2002,ISD,
45.7,28.9,48.18,1980,1998,ISD,
492,16.98,7.98,1978,2001,ISD,
961,35.33,-117.1,1995,1999,ISD,
1150.6,33.34,69.95,1989,2000,ISD,
114,36.67,87.5,1987,1991,ISD,
229,35.77,43.11,1984,2008,ISD,
30,32.48,45.76,1987,1992,ISD,
955,36.58,-115.66,1983,1991,ISD,
7.6,6.28,-10.76,1991,1999,ISD,
1018,31.52,65.85,1993,2000,ISD,
247,39.05,-85.61,1997,1997,ISD,
570,35.28,-116.35,1991,2002,ISD,
18,32.03,-81.66,1985,1998,ISD,
11,30.42,-86.66,1984,1995,ISD,
10,30.42,-86.66,1984,1985,ISD,
14,58.67,-156.65,1984,2000,ISD,
2016,33.92,69.06,1985,2000,ISD,
408,36.65,66.98,1985,1985,ISD,
255,32.5,74.53,1989,1998,ISD,
127.4,46.03,12.36,1999,2000,ISD,
533.1,45.75,14.2,1991,1991,ISD,
47,33.32,43.88,1994,2008,ISD,
1008,31.5,65.85,1989,2003,ISD,
8,30.42,-86.66,1983,2003,ISD,
49,33.95,44.36,1990,2008,ISD,
64.9,37.72,127.1,1982,2002,ISD,
47.9,35.65,128.75,1982,1997,ISD,
42.7,37.8,126.23,1996,1996,ISD,
12.2,37.52,126.98,1982,2002,ISD,
64.6,37.75,127.02,1983,2002,ISD,
75,35.83,128.58,1982,2003,ISD,
83.5,51.89,14.53,1981,1990,ISD,
376.4,4.08,-73.56,2008,2019,ISD,
9.4,6.23,-10.36,2002,2002,ISD,
0,44,-59.33,1984,1985,ISD,
0,47.17,-62.83,1985,1985,ISD,
609,62.2,-134.38,1979,1980,ISD,
539,62.12,-136.18,1979,2002,ISD,
902,62.62,-131.26,1979,1979,ISD,
0,74.5,-113.38,1979,1985,ISD,
0,78.67,-74.5,1979,1979,ISD,
0,75.72,-98.41,1979,1979,ISD,
733,61.93,-132.5,1978,1980,ISD,
12,76.47,-108.76,1978,1979,ISD,
0,75.55,-105.43,1979,1979,ISD,
411,76.33,-113.21,1978,1978,ISD,
0,77.83,-100.26,1979,1979,ISD,
41,44.3,-58,1987,1991,ISD,
1292,41.05,-113.06,1980,1991,ISD,
1863,32.52,68.86,1982,1995,ISD,
534.9,64.72,-146.52,1983,1987,ISD,
913,32.02,64.83,1984,1996,ISD,
63,35.45,139.45,2000,2004,ISD,
683.1,35.27,-116.36,2001,2008,ISD,
5,38.13,140.91,1985,1990,ISD,
108,38.42,140.36,1988,1993,ISD,
91,39.43,141.13,1984,1998,ISD,
1237.8,32.42,-105.99,1991,1999,ISD,
80,34.05,45,1987,1992,ISD,
46,33.75,44.6,1991,1995,ISD,
191,35.3,43.83,1990,1994,ISD,
82,32.53,-114.51,1984,1992,ISD,
248.1,32.5,-114.15,1990,1996,ISD,
653,34.18,70.81,1991,2000,ISD,
11,11.55,43.15,1996,2004,ISD,
497,24.13,47.93,1996,1996,ISD,
1042,35.22,71.51,1985,1993,ISD,
15.2,-2.15,40.9,1985,1992,ISD,
9,10.32,123.95,1992,1992,ISD,
228.6,47.13,17.9,1991,1992,ISD,
786,31.6,64.36,2001,2003,ISD,
39.6,25.12,51.31,1985,2003,ISD,
322,35.28,-116.61,1985,2008,ISD,
117,32.73,-113.63,1983,1997,ISD,
1805.3,34.53,69.19,1995,2002,ISD,
139,34.67,43.51,2002,2008,ISD,
993.7,32.1,64.8,1999,1999,ISD,
472,35.6,63.3,1994,1999,ISD,
216,36.3,43.15,1991,2008,ISD,
323,35.47,44.35,2003,2008,ISD,
144,29.33,47.51,1985,2003,ISD,
23,24.25,54.55,1984,2003,ISD,
626,34.3,-116.15,1984,1998,ISD,
131.1,29.7,47.43,2003,2003,ISD,
1880,40.5,-103.83,2001,2001,ISD,
1112.5,34.12,62.21,2008,2008,ISD,
64,33.63,44.58,2008,2008,ISD,
86.9,5.52,-68.68,2007,2007,ISD,
895,4.22,-74.63,2008,2008,ISD,
64.9,32.65,-114.61,1987,2009,ISD,
31.4,60.79,-148.83,2006,2019,ISD,
29,60.78,-148.83,2004,2005,ISD,
7.6,66.6,-159.98,2006,2019,ISD,
8,66.62,-160,1994,2005,ISD,
9.5,71.28,-156.78,1945,2019,ISD,
0,71.32,-155.21,1992,1992,ISD,
4,71.33,-156.63,1975,1978,ISD,
6.1,71.33,-156.65,1974,1975,ISD,
9.1,70.64,-159.99,1999,2019,ISD,
27,70.62,-159.85,1973,1999,ISD,
27,70.62,-159.85,2000,2004,ISD,
198,69.37,-148.7,2013,2013,ISD,
9.1,70.92,-153.25,1973,1989,ISD,
12,70.92,-153.23,2002,2006,ISD,
4.9,70.5,-149.88,1973,1999,ISD,
5,70.5,-149.88,2003,2003,ISD,
17.1,52.22,-174.2,2006,2013,ISD,
15,57.07,-135.36,2004,2005,ISD,
9.1,65.98,-161.13,2006,2019,ISD,
9,65.98,-161.15,2004,2005,ISD,
20.4,70.33,-149.59,2006,2019,ISD,
20,70.32,-149.58,1981,2005,ISD,
812.6,68.48,-149.49,2006,2019,ISD,
814,68.48,-149.48,1975,2005,ISD,
14,70.25,-148.33,1973,1999,ISD,
18.6,70.19,-148.47,1973,2019,ISD,
6,54.85,-163.41,1973,2019,ISD,
297,69.17,-148.81,1974,1978,ISD,
0.6,70.13,-143.57,1947,2019,ISD,
15,70.13,-143.63,2000,2004,ISD,
1.5,70.13,-143.57,1990,1991,ISD,
2,70.13,-143.58,1973,1996,ISD,
108,69.72,-148.68,1975,1977,ISD,
1032,68.18,-149.41,1975,1975,ISD,
982,68.07,-149.58,1975,1978,ISD,
4.9,68.87,-166.13,2006,2019,ISD,
3,68.88,-166.13,1952,2005,ISD,
4,68.35,-166.8,2006,2019,ISD,
4,68.35,-166.8,1943,2005,ISD,
296.9,68.03,-162.9,2006,2019,ISD,
297,68.07,-162.83,1998,2005,ISD,
280.4,65.57,-144.76,2002,2013,ISD,
5,65.62,-168.05,1943,1977,ISD,
82.6,65.56,-167.92,2006,2019,ISD,
83,65.57,-167.91,1953,2005,ISD,
3,65.25,-166.85,1973,2018,ISD,
2.1,66.25,-166.08,2006,2019,ISD,
4,66.25,-166.08,1983,2005,ISD,
51.2,66.98,-160.43,2008,2019,ISD,
50.6,66.98,-160.43,1983,1985,ISD,
7.6,69.73,-163,2006,2019,ISD,
6,69.82,-162.91,1973,1999,ISD,
6,69.82,-162.91,2000,2005,ISD,
6.1,69.73,-163.01,1992,1996,ISD,
6,69.73,-163.01,1990,1991,ISD,
9.1,66.87,-162.63,1973,2019,ISD,
5,66.07,-162.75,1984,1985,ISD,
6.4,66.07,-162.76,1999,2019,ISD,
6,66.08,-162.75,1998,1998,ISD,
3,66.88,-162.6,1996,1996,ISD,
26.8,67.57,-162.97,2006,2019,ISD,
27,67.55,-162.96,1995,2005,ISD,
7,65.62,-168.1,2009,2019,ISD,
6.7,65.62,-168.1,2010,2010,ISD,
22.9,61.53,-165.58,2009,2019,ISD,
3.1,67.73,-164.54,2006,2019,ISD,
4,67.73,-164.55,1999,2005,ISD,
85,69.37,-152.13,1946,2013,ISD,
85,69.37,-152.13,2000,2004,ISD,
640.1,68.17,-151.76,2006,2019,ISD,
641,68.13,-151.73,1980,2005,ISD,
88.1,67.1,-157.85,2006,2019,ISD,
102,67.1,-157.85,1988,2005,ISD,
62.8,66.89,-157.16,2009,2019,ISD,
60,66.89,-157.16,1985,1989,ISD,
388.9,66,-153.7,2005,2019,ISD,
389,66,-153.7,1951,2004,ISD,
193.2,66.92,-151.51,1945,2019,ISD,
577.6,67.51,-148.49,2006,2014,ISD,
585,67.5,-148.48,1973,2005,ISD,
447,67.68,-149.73,1973,1975,ISD,
358,61.25,-153.82,1973,1975,ISD,
356.6,61.27,-153.8,2005,2014,ISD,
335,66.82,-150.65,1973,2019,ISD,
360,67.4,-150.11,1994,2002,ISD,
67.7,65.18,-152.1,1943,2019,ISD,
155,65.93,-149.83,1977,1985,ISD,
85,65,-150.65,1943,1989,ISD,
82.9,65,-150.63,2006,2014,ISD,
81,65,-150.65,1990,2005,ISD,
155,65.93,-149.83,1973,1996,ISD,
135.6,66.57,-145.26,1973,2019,ISD,
135,66.57,-145.26,2000,2003,ISD,
637.6,68.12,-145.57,2006,2019,ISD,
638,68.12,-145.56,1995,2005,ISD,
252,65.48,-144.66,2002,2007,ISD,
276.8,64.78,-141.14,2006,2019,ISD,
268,64.78,-141.15,1998,2005,ISD,
7.6,64.55,-163,2005,2019,ISD,
8,64.54,-163.04,1999,2004,ISD,
4,64.51,-165.44,1940,2019,ISD,
81.4,64.69,-163.41,2011,2019,ISD,
95.1,62.06,-163.3,2006,2019,ISD,
95,62.05,-163.3,1979,2005,ISD,
55.2,64.33,-158.74,2006,2019,ISD,
54,64.32,-158.73,1999,2005,ISD,
6.1,64.7,-162.05,1943,1979,ISD,
16.8,63.69,-170.49,2006,2019,ISD,
16,63.68,-170.48,1987,2005,ISD,
8.5,63.77,-171.73,1987,2019,ISD,
8,63.77,-171.73,2000,2003,ISD,
9.1,63.32,-168.96,1952,1969,ISD,
5.5,63.88,-160.8,1943,2019,ISD,
6,63.88,-160.8,2000,2003,ISD,
26.8,62.65,-160.18,2006,2019,ISD,
94,62.65,-160.18,1995,2005,ISD,
4.3,62.79,-164.49,2006,2019,ISD,
4,62.78,-164.48,1944,2005,ISD,
50,62.08,-163.71,1944,1945,ISD,
95,62.07,-163.3,1985,1989,ISD,
146,61.78,-166.03,1953,1999,ISD,
146,61.78,-166.03,2006,2019,ISD,
146,61.78,-166.03,2000,2005,ISD,
13.7,60.38,-166.2,2006,2019,ISD,
15,60.37,-166.26,1983,2005,ISD,
5.5,61.52,-166.14,2006,2019,ISD,
5,61.52,-166.13,1984,2005,ISD,
31.1,60.79,-161.82,1945,2019,ISD,
5.2,60.68,-161.98,1994,2019,ISD,
46.6,64.74,-156.93,2006,2019,ISD,
49,64.73,-156.93,1942,2005,ISD,
33.5,64.94,-161.15,2006,2019,ISD,
37,64.93,-161.16,1976,2005,ISD,
268,64.78,-141.15,1981,1995,ISD,
55,65.7,-156.38,1994,2005,ISD,
101.5,62.96,-155.61,1973,2019,ISD,
321,62.54,-153.61,1997,1999,ISD,
3207.7,62.54,-153.62,2006,2014,ISD,
321,62.54,-153.61,2000,2005,ISD,
293.8,62.89,-155.97,2006,2019,ISD,
294,62.88,-155.96,1952,2005,ISD,
25.9,61.58,-159.54,1973,2019,ISD,
26,61.58,-159.53,2000,2003,ISD,
107.9,61.57,-149.54,2004,2019,ISD,
108,61.57,-149.54,1998,2004,ISD,
484,61.1,-155.58,2006,2019,ISD,
484,61.1,-155.56,1951,2005,ISD,
206.7,63.89,-152.3,1973,2019,ISD,
214,63.9,-152.26,2000,2004,ISD,
458,62.52,-153.88,1973,1984,ISD,
323,62.53,-153.61,1985,1996,ISD,
566.3,62.09,-152.73,2006,2019,ISD,
560,62.1,-152.75,1973,2005,ISD,
305.1,61.98,-152.08,2006,2011,ISD,
305,61.98,-152.08,1973,2005,ISD,
106.7,62.32,-150.09,1973,2019,ISD,
151,62.3,-150.41,2005,2005,ISD,
45.7,61.98,-151.21,1973,2016,ISD,
45,61.97,-151.18,2000,2004,ISD,
27.7,60.58,-151.23,1973,2019,ISD,
34.4,60.48,-151.03,2006,2019,ISD,
34,60.47,-151.03,1983,2005,ISD,
109.7,64.55,-149.07,1943,2019,ISD,
110,64.55,-149.08,2000,2003,ISD,
168.2,64.3,-149.12,1947,1947,ISD,
426.7,62.83,-149.9,2006,2019,ISD,
381,62.88,-149.83,1978,2005,ISD,
0,58.1,-135.4,2006,2019,ISD,
6,58.12,-135.41,1978,2005,ISD,
131.7,64.8,-147.87,1946,2019,ISD,
138.4,64.84,-147.61,2006,2019,ISD,
140,64.83,-147.61,1941,2005,ISD,
389,66.45,-150.58,1975,1976,ISD,
126.2,63.02,-154.36,2006,2019,ISD,
126,63.02,-154.36,2008,2008,ISD,
17,57.58,-157.58,2006,2019,ISD,
199,64.73,-155.47,2006,2019,ISD,
31.1,61.87,-162.03,2006,2019,ISD,
31.4,61.86,-162.02,2008,2018,ISD,
10,56,-134.13,2008,2011,ISD,
734.3,63.33,-149.12,1973,1984,ISD,
524.3,63.73,-148.91,2006,2019,ISD,
524,63.73,-148.91,1975,2005,ISD,
625,63.65,-148.8,1976,1976,ISD,
3945.3,63.87,-148.96,2006,2012,ISD,
394,63.87,-148.97,1976,2005,ISD,
667.5,63.39,-148.95,2006,2011,ISD,
668,63.4,-148.95,1983,2005,ISD,
166.7,64.68,-147.08,2006,2019,ISD,
167,64.65,-147.06,1944,2005,ISD,
167,64.65,-147.06,1975,1975,ISD,
398,63.97,-145.7,1944,1990,ISD,
389.2,63.99,-145.72,1945,2019,ISD,
389,64,-145.71,1980,1984,ISD,
182,65.83,-144.06,1979,2009,ISD,
823,63.03,-145.49,2006,2010,ISD,
809,63.03,-145.5,1974,2005,ISD,
978,63.08,-145.5,1975,1976,ISD,
573,62.1,-145.96,1975,1990,ISD,
29.3,70.47,-157.43,2006,2019,ISD,
9.1,60.9,-161.23,2006,2019,ISD,
9.1,60.9,-161.23,2008,2010,ISD,
167.6,61.71,-148.9,2006,2011,ISD,
265,61.72,-148.88,1992,2005,ISD,
236,61.63,-149.03,1978,2004,ISD,
92.1,59.45,-157.33,2006,2019,ISD,
92,59.45,-157.33,2008,2018,ISD,
118.3,61.27,-149.65,2013,2019,ISD,
115,61.27,-149.65,1973,2018,ISD,
476.1,62.16,-145.45,1945,2019,ISD,
853.4,61.81,-147.5,2005,2011,ISD,
799,61.82,-147.55,1997,2004,ISD,
1002.5,61.95,-147.16,2006,2019,ISD,
1002,61.93,-147.16,1995,2005,ISD,
900,61.82,-147.55,1973,1996,ISD,
7.6,66.6,-159.98,1973,2016,ISD,
735,62.03,-142.66,1975,1976,ISD,
64.6,61.25,-149.79,2006,2019,ISD,
59,61.25,-149.8,1941,2005,ISD,
27.4,61.18,-149.96,2002,2019,ISD,
22,61.18,-149.96,1973,2001,ISD,
36.6,61.17,-150.02,1973,2019,ISD,
42.1,61.22,-149.85,1945,2019,ISD,
42,61.2,-149.83,2000,2003,ISD,
115,61.27,-149.65,1976,1983,ISD,
70.1,61.6,-149.09,1999,2019,ISD,
74,61.6,-149.08,1973,1998,ISD,
62.5,61.75,-150.05,2006,2011,ISD,
67,61.75,-150.05,1991,2005,ISD,
29.3,61.42,-149.5,2006,2019,ISD,
29,61.42,-149.5,1994,2005,ISD,
29,61.13,-146.35,1973,2014,ISD,
37,61.13,-146.25,1996,1996,ISD,
466.7,61.44,-142.9,2006,2014,ISD,
455,61.43,-142.93,1974,2005,ISD,
18.3,61.13,-146.24,2006,2019,ISD,
36,61.13,-146.25,1975,2005,ISD,
11.9,60.78,-148.73,2006,2012,ISD,
9,60.77,-148.68,1975,2005,ISD,
5.5,70.34,-150.94,2006,2019,ISD,
5,70.33,-150.93,2004,2005,ISD,
30,7.33,134.48,2004,2008,ISD,
6.7,60.13,-149.41,2006,2019,ISD,
18,60.12,-149.45,1945,2005,ISD,
56,60.23,-146.65,1974,1980,ISD,
110,60.4,-146.08,1973,1974,ISD,
522.1,62.96,-141.93,1945,2019,ISD,
877.8,62.4,-142.99,2006,2014,ISD,
878,62.4,-143,1992,2005,ISD,
668.1,62.71,-143.98,2006,2011,ISD,
730,62.7,-143.98,1974,2005,ISD,
472,63.38,-143.33,1944,1950,ISD,
509,63.32,-142.71,1977,1985,ISD,
9.5,60.49,-145.45,1942,2019,ISD,
14,60.48,-146.6,1975,1982,ISD,
11,60.08,-142.5,1973,1999,ISD,
11,60.08,-142.5,2001,2002,ISD,
18.3,60.81,-152.29,2006,2018,ISD,
12,60.82,-152.3,1978,2005,ISD,
4,60.47,-164.7,1984,1985,ISD,
164.9,58.65,-162.06,2006,2019,ISD,
161,58.65,-162.06,1953,2005,ISD,
6.1,62.18,-159.76,2006,2018,ISD,
21,62.18,-159.78,2005,2005,ISD,
16.8,61.54,-160.34,2006,2019,ISD,
17,61.53,-160.33,2005,2005,ISD,
15.5,61.78,-161.31,2006,2019,ISD,
15,61.77,-161.31,1976,2005,ISD,
4.3,61.85,-165.56,2005,2019,ISD,
4.3,61.85,-165.57,2008,2010,ISD,
15.9,58.98,-159.05,2005,2019,ISD,
16,58.99,-159.05,2008,2018,ISD,
102.7,62.1,-163.68,2006,2019,ISD,
15,62.1,-163.68,2005,2005,ISD,
18,60.54,-165.08,2006,2019,ISD,
21,60.53,-165.08,2005,2005,ISD,
4.3,56.02,-161.16,2005,2019,ISD,
4,56.01,-161.16,2008,2018,ISD,
47,55.17,-162.27,2005,2019,ISD,
27.4,59.32,-155.9,2006,2019,ISD,
27,59.3,-155.9,2005,2005,ISD,
10.7,57.16,-170.22,1943,2019,ISD,
23.8,55.22,-162.73,1942,2019,ISD,
6.4,55.32,-160.52,2005,2019,ISD,
6,55.33,-160.5,1973,2004,ISD,
26.2,59.05,-158.51,2006,2019,ISD,
29,59.05,-158.51,1973,2005,ISD,
20.4,58.68,-156.65,1942,2019,ISD,
17,58.68,-156.68,1980,1996,ISD,
26.8,56.96,-158.63,2006,2019,ISD,
29,56.95,-158.61,1942,2005,ISD,
5.5,56.31,-158.37,2006,2019,ISD,
6,56.31,-158.36,1998,2005,ISD,
28,58.19,-157.38,2006,2019,ISD,
28,58.42,-157.36,1993,2005,ISD,
49.4,58.7,-157,1994,2019,ISD,
43.6,59.75,-154.9,1973,2019,ISD,
79.3,60.2,-154.31,2005,2019,ISD,
85,60.2,-154.31,1973,2004,ISD,
54.3,61.72,-157.15,2006,2019,ISD,
54,61.72,-157.15,1994,2005,ISD,
19.5,59.64,-151.49,1973,2019,ISD,
30.5,59.43,-146.33,1945,2019,ISD,
14,59.43,-146.33,1977,1999,ISD,
14,59.43,-146.33,2000,2004,ISD,
14,59.43,-146.33,1973,1977,ISD,
24.4,57.75,-152.48,1945,2019,ISD,
17,56.55,-154.13,1973,1979,ISD,
18,59.8,-144.6,1973,1981,ISD,
26,59.63,-151.46,1979,2008,ISD,
4.6,59.01,-161.82,2006,2019,ISD,
5,59,-161.81,1942,2005,ISD,
6.1,59.07,-160.36,2006,2019,ISD,
6,59.05,-160.38,1989,2005,ISD,
10.1,59.51,-139.67,1941,2019,ISD,
3,59.52,-139.76,1977,1977,ISD,
6.1,59.46,-135.32,1943,2019,ISD,
8.8,59.44,-151.7,2006,2019,ISD,
9,59.45,-151.7,1998,2005,ISD,
10,59.23,-135.43,1973,1996,ISD,
4.6,59.24,-135.5,1996,2019,ISD,
14,59.78,-154.13,2004,2004,ISD,
10,58.97,-135.21,1973,2001,ISD,
17.4,70.21,-151,2006,2019,ISD,
12,70.2,-151,1999,2005,ISD,
27.1,58.2,-136.63,1973,1989,ISD,
54.9,65.7,-156.35,2006,2019,ISD,
65,65.7,-156.63,2004,2005,ISD,
13,59.75,-161.83,2014,2019,ISD,
12.2,58.41,-135.7,1976,2019,ISD,
10,58.43,-135.7,2000,2004,ISD,
11,58.17,-135.25,1973,1984,ISD,
4.3,57.05,-135.36,1973,2019,ISD,
15,56.85,-135.53,1973,1978,ISD,
63.4,61.75,-150.05,1977,1991,ISD,
4.9,58.36,-134.56,1973,2019,ISD,
15,58.4,-134.95,1973,1989,ISD,
0,58.25,-134.9,1974,1996,ISD,
6.1,58.19,-136.34,2006,2019,ISD,
0,58.2,-136.35,1974,2005,ISD,
8.5,57.5,-134.58,1973,2019,ISD,
38.1,56.6,-169.56,2006,2019,ISD,
38,56.57,-169.65,1998,2005,ISD,
11,57.27,-133.61,1973,2002,ISD,
52.4,56.97,-133.9,2006,2019,ISD,
52,56.95,-133.9,1973,2005,ISD,
32.6,56.81,-132.93,1973,2019,ISD,
0,56.82,-132.96,2000,2004,ISD,
3,56.8,-132.81,1985,1985,ISD,
30,56.47,-133.1,1973,1978,ISD,
17.1,56.47,-132.38,2006,2019,ISD,
13,56.48,-132.37,1973,2005,ISD,
14.9,56,-134.13,1973,1989,ISD,
14.9,56,-134.13,2000,2004,ISD,
0,55.21,-132.82,2006,2019,ISD,
0,55.2,-132.83,1978,2005,ISD,
1,55.97,-133.8,1974,1978,ISD,
3.7,56.25,-134.64,2006,2015,ISD,
0,56.25,-134.65,1979,2005,ISD,
7,64.37,-161.22,2011,2019,ISD,
7,64.37,-161.22,2010,2018,ISD,
49,64.62,-162.26,2013,2019,ISD,
3.7,55.58,-133.07,2000,2019,ISD,
24,55.57,-133.06,1980,1999,ISD,
0,55.48,-133.15,1973,1974,ISD,
0,55.48,-133.15,2002,2002,ISD,
82.3,59.73,-157.26,2007,2019,ISD,
82,59.73,-157.26,2008,2018,ISD,
13,56.93,-154.18,2007,2019,ISD,
24.4,55.35,-131.65,1973,2019,ISD,
33.2,55.04,-131.57,1941,2019,ISD,
0,55.13,-131.57,2006,2019,ISD,
0,55.13,-131.58,1998,2005,ISD,
21,52.83,173.18,1943,1987,ISD,
37.2,52.72,174.1,2005,2019,ISD,
31,52.72,174.1,1943,2004,ISD,
5.2,51.88,-176.65,1942,2019,ISD,
5,51.88,-176.65,2000,2003,ISD,
69,51.38,179.26,1943,1993,ISD,
21,52.95,-168.85,1942,1994,ISD,
39,53.37,-167.9,1942,1950,ISD,
3.1,53.9,-166.54,2008,2019,ISD,
4,53.9,-166.55,1946,2008,ISD,
4,53.88,-166.53,1976,1976,ISD,
9,54.6,-164.93,1973,1980,ISD,
321,56,-160.51,1959,1974,ISD,
395.9,53.97,-166.85,1973,1973,ISD,
17.1,66.82,-161.02,2011,2019,ISD,
16.8,66.82,-161.02,1973,1991,ISD,
806.8,61.37,-139.04,1996,2019,ISD,
936,50.13,-123.11,2007,2010,ISD,
439.5,53.57,-64.1,1996,2019,ISD,
860,50.13,-123.11,2009,2010,ISD,
306.3,53.75,-73.68,2008,2017,ISD,
870,50.15,-123.11,2007,2010,ISD,
969,49.4,-123.2,2007,2010,ISD,
658,53.1,-111.16,2007,2019,ISD,
737,52.3,-111.76,2007,2019,ISD,
967,50.02,-113.21,2007,2019,ISD,
807,50.88,-112.45,2007,2019,ISD,
896,51.37,-113.35,2007,2019,ISD,
721,52.58,-111.46,2007,2019,ISD,
870,51.98,-112.8,2007,2019,ISD,
690,52.33,-110.5,2007,2019,ISD,
845,51.77,-112.25,2007,2019,ISD,
889,52.18,-113.18,2008,2019,ISD,
1305,49.28,-112.53,2009,2019,ISD,
1326,49.15,-113.55,2007,2019,ISD,
11,73.75,-105.28,2004,2019,ISD,
30,74.72,-94.98,2004,2019,ISD,
245,47.15,-67.81,1996,2017,ISD,
204,61.23,-123.73,2003,2019,ISD,
368,64.18,-114.08,2012,2019,ISD,
283,61.25,-124.46,2004,2019,ISD,
35,54.28,-130.43,2004,2019,ISD,
658,54.92,-109.95,1996,2019,ISD,
289,58.38,-116.03,2003,2019,ISD,
715,50.03,-110.71,2003,2019,ISD,
46,46.3,-63.58,2005,2019,ISD,
12,45.58,-73.5,2005,2007,ISD,
8,46.67,-60.4,2003,2019,ISD,
875,51.67,-124.4,2003,2019,ISD,
30,70.75,-117.8,2003,2019,ISD,
78,44.7,-66.8,2003,2019,ISD,
15,48.42,-123.23,1992,2019,ISD,
700,49.47,-120.5,1992,2019,ISD,
0,53.82,-128.83,1986,1988,ISD,
658,50.12,-122.95,1999,2004,ISD,
16,49.6,-126.62,1999,2011,ISD,
21,51.6,-127.87,1999,2001,ISD,
14,51.25,-127.83,1999,2001,ISD,
72,50.78,-128.43,1999,2001,ISD,
10,52.27,-128.4,1999,2001,ISD,
513.9,57.25,-105.6,2011,2019,ISD,
11,49.47,-124.68,2011,2011,ISD,
187,43.78,-79.46,1986,1988,ISD,
937,57.25,-122.72,1999,2003,ISD,
12,54.57,-130.7,1999,2001,ISD,
804,58.65,-124.23,1999,2003,ISD,
21,54.3,-130.88,1999,2001,ISD,
16,53.5,-130.63,1999,2001,ISD,
835,58.92,-125.77,1999,2003,ISD,
23,48.4,-123.3,2004,2004,ISD,
568,50.63,-128.12,1999,2001,ISD,
11,52.65,-128.52,1999,2001,ISD,
1200,51.1,-114.36,1999,2003,ISD,
609.6,55.69,-121.62,1996,2019,ISD,
71,55.08,-59.18,1996,2019,ISD,
914,51.62,-113.65,2008,2019,ISD,
252.1,46.41,-74.78,1942,2004,ISD,
103,48.48,-71.78,2005,2006,ISD,
784.9,51.3,-116.98,1996,2019,ISD,
215,60.23,-123.48,1996,2019,ISD,
469,64.7,-110.61,1999,2019,ISD,
218,65.21,-123.43,1996,2019,ISD,
209,45.27,-72.17,2004,2019,ISD,
304.2,51.1,-100.05,1996,2019,ISD,
59,45.12,-73.66,2004,2007,ISD,
262,45,-73.88,2004,2007,ISD,
86,45.37,-72.76,2004,2019,ISD,
0,48.55,-123.23,2007,2014,ISD,
35,49.33,-123.26,2003,2019,ISD,
59,45.18,-73.62,2004,2006,ISD,
303.9,54.68,-101.68,1996,2019,ISD,
145,56.37,-94.7,2005,2019,ISD,
44.5,46.6,-66.01,2004,2019,ISD,
543,62.12,-136.2,2003,2019,ISD,
163,48.3,-71.11,1993,2019,ISD,
114.9,45.66,-61.36,1996,2019,ISD,
4,44.37,-64.3,2005,2019,ISD,
103,48.65,-71.85,2004,2009,ISD,
3,49.13,-123,2001,2019,ISD,
72.5,65.28,-126.79,1945,2019,ISD,
81.7,66.24,-128.65,1934,2019,ISD,
251,67.57,-139.83,1996,2019,ISD,
198,48.37,-89.33,2004,2004,ISD,
705,60.17,-132.73,1943,2019,ISD,
705,60.17,-132.74,1977,2019,ISD,
13,69.62,-140.2,1998,2018,ISD,
656,53.45,-111.25,2008,2019,ISD,
735,51.05,-110.31,1995,2019,ISD,
610,61.63,-125.8,1996,2006,ISD,
18,65.87,-89.43,1994,2019,ISD,
150,66.03,-91.83,1996,1996,ISD,
910,52.1,-124.13,1977,2019,ISD,
899,51.98,-124.98,1957,1959,ISD,
927,49.37,-110.68,1955,2019,ISD,
86,72,-125.26,1993,2019,ISD,
