elev,lat,lon,yrst,yrstp,notes,reference
65,59.48,5.75,1973,2019,ISD,
24,59.85,6,2002,2002,ISD,
25,59.17,6.03,2005,2019,ISD,
66,58.52,6.51,1973,2019,ISD,
14,58.12,6.56,1928,2019,ISD,
8.8,58.1,6.62,1973,2007,ISD,
94,59.11,2.84,2013,2019,ISD,
138,58.02,7.45,1973,2019,ISD,
989.5,59.82,7.21,1985,2019,ISD,
13,57.98,7.05,1973,2019,ISD,
562,59.5,8.2,2006,2019,ISD,
8,58.07,8.05,1949,2019,ISD,
977,59.83,8.18,1973,2019,ISD,
17.4,58.2,8.08,1940,2019,ISD,
15,58.4,8.78,1973,2019,ISD,
109,59.97,11.03,2011,2019,ISD,
5,58.63,9.15,1973,2019,ISD,
19.2,59.57,9.21,1990,2019,ISD,
275,60.05,9.15,2006,2019,ISD,
173,59.62,9.63,2004,2019,ISD,
294,59.9,9.53,1973,2006,ISD,
141,59.18,9.56,1985,2004,ISD,
5,58.85,9.55,1973,2019,ISD,
169,59.67,9.65,1996,1996,ISD,
15,58.97,10.15,1973,2019,ISD,
8,59.75,10.13,2005,2019,ISD,
7.7,59.03,10.51,1931,2019,ISD,
87.2,59.19,10.25,1996,2019,ISD,
15,59.32,10.45,1990,2019,ISD,
142,61.21,1.82,2010,2019,ISD,
53,59.38,10.78,1973,2019,ISD,
10,59.15,10.83,2004,2019,ISD,
42.7,56.08,13.21,2004,2019,ISD,
516,68.42,18.16,2008,2019,ISD,
512,68.43,18.63,1986,2005,ISD,
425,67.5,18.3,2001,2019,ISD,
393,68.22,19.71,1977,2003,ISD,
459.6,67.82,20.33,1977,2019,ISD,
313,67.13,20.81,1979,2019,ISD,
337,66.95,17.75,1955,1977,ISD,
360,68.05,21.75,1955,2016,ISD,
17,65.55,22.13,1955,1977,ISD,
7,65.83,24.15,1973,1977,ISD,
376,63.18,14.5,1955,1977,ISD,
360,62.03,14.36,1955,1977,ISD,
4,62.53,17.45,1955,1977,ISD,
26,61.27,17.1,1955,1977,ISD,
198,60.15,13.8,1973,1977,ISD,
46,59.37,13.46,1955,1977,ISD,
6,59.58,16.63,1973,1977,ISD,
21,59.88,17.6,1973,1977,ISD,
15,59.35,17.95,1955,1977,ISD,
54,58.43,12.7,1973,1977,ISD,
32,58.75,17.86,1973,1977,ISD,
12,58.4,19.2,1973,1977,ISD,
360,68.05,22,1955,2004,ISD,
259,57.72,13.11,1973,1977,ISD,
226,57.77,14.08,1955,1977,ISD,
4,57.37,17.1,1973,1977,ISD,
51,57.67,18.35,1955,1977,ISD,
166,56.87,14.8,1973,1977,ISD,
14.9,55.6,13.06,1955,1974,ISD,
72,55.55,13.36,1973,1977,ISD,
34,55.43,13.83,1973,1977,ISD,
458.1,65.81,15.08,1973,2019,ISD,
256,66.6,19.83,1973,1977,ISD,
180,65.87,20.13,1973,1977,ISD,
320,66.88,18.01,1973,2019,ISD,
283,65,17.7,1973,2013,ISD,
278,64.97,17.7,1973,1986,ISD,
275.5,66.5,20.14,1977,2000,ISD,
27,58.62,16.11,1973,1977,ISD,
42,58.78,16.91,1973,1977,ISD,
275,66.48,20.16,1973,2019,ISD,
182,65.88,20.15,1977,2019,ISD,
169,57.3,14.13,1955,1977,ISD,
680,63.97,13.71,1977,2003,ISD,
195,65.12,20.77,1996,2005,ISD,
43,56.08,13.23,1973,1977,ISD,
58,56.27,15.28,1973,1977,ISD,
5,55.38,12.81,1973,1977,ISD,
36,65.87,21.45,2002,2002,ISD,
62,66.27,22.85,1996,2019,ISD,
19.8,65.54,22.12,1977,2019,ISD,
393,68.22,19.71,1973,1977,ISD,
583,63.28,12.11,1973,2019,ISD,
550,64.5,14.21,2008,2019,ISD,
680,63.97,13.71,1973,1977,ISD,
376,63.2,14.5,1935,2019,ISD,
