,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.443,646.399,90.150,24.000,9.120,241.421,1.123,2.555
2019-07-31,0.584,645.989,97.300,23.592,9.800,219.699,1.017,2.499
2019-08-31,0.461,647.615,94.600,9.392,9.970,141.008,0.961,2.443
2019-09-30,0.522,648.873,97.600,2.842,8.545,20.920,0.692,2.027
2019-10-31,0.408,648.909,88.400,0.000,4.514,0.000,0.703,2.055
