,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.662,466.880,98.400,1341.255,1.718,1322.671,10.160,18.080
2019-07-31,0.619,466.313,99.300,1370.544,2.245,1317.801,3.142,7.314
2019-08-31,0.457,467.410,99.700,1526.802,2.180,1305.979,2.668,6.248
2019-09-30,0.667,467.898,98.900,1385.853,1.666,1257.848,3.508,8.370
2019-10-31,0.816,465.567,96.000,1155.990,-2.750,1152.306,10.820,18.380
