,press,rh,temp,ws,ws_max
2019-06-30,1.686,25.861,2.868,3.138,5.081
2019-07-31,1.094,14.594,2.357,2.491,3.561
2019-08-31,0.720,17.818,2.166,2.342,3.613
2019-09-30,1.136,15.682,3.128,2.543,3.408
2019-10-31,2.149,16.152,3.017,4.363,6.649
