,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.464,646.442,86.926,253.860,9.342,473.765,1.464,3.090
2019-07-31,0.552,645.783,94.105,209.459,10.188,466.243,1.213,2.749
2019-08-31,0.436,647.360,91.642,247.551,10.483,439.603,1.189,2.792
2019-09-30,0.518,649.146,94.206,188.866,8.609,390.054,0.950,2.380
2019-10-31,0.425,648.928,81.578,188.350,4.999,326.954,0.955,2.388
