,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.774,650.067,100.000,1256.450,15.180,1322.671,3.912,9.550
2019-07-31,0.812,648.942,100.000,1306.217,16.720,1317.801,3.829,8.050
2019-08-31,0.642,651.082,100.000,1299.117,15.840,1305.979,4.005,8.050
2019-09-30,0.858,654.437,100.000,1211.350,15.080,1257.848,3.417,6.886
2019-10-31,0.866,652.913,100.000,1130.983,11.450,1152.306,3.376,6.720
