,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.223,463.108,62.070,40.373,-4.353,241.421,1.238,3.535
2019-07-31,0.376,463.834,92.500,30.913,-3.688,219.699,0.834,2.477
2019-08-31,0.242,464.998,89.450,11.369,-3.690,141.008,1.034,2.418
2019-09-30,0.341,465.026,87.550,5.175,-5.495,20.920,1.138,2.879
2019-10-31,0.233,463.002,31.860,0.000,-10.275,0.000,2.593,5.898
