,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.080,1.603,28.955,461.188,3.095,514.938,4.246,7.431
2019-07-31,0.122,1.138,15.795,408.462,2.251,512.089,2.388,3.764
2019-08-31,0.092,0.777,15.705,412.595,1.892,500.434,2.471,3.613
2019-09-30,0.094,1.012,12.445,358.781,2.899,469.323,2.969,4.403
2019-10-31,0.230,2.090,26.849,344.828,2.087,415.842,5.484,9.951
