,press,rh,temp,ws,ws_max
2019-06-30,357.900,60.213,-18.797,4.311,10.470
2019-07-31,359.335,77.388,-14.746,3.068,6.699
2019-08-31,360.120,73.609,-16.006,3.383,7.986
2019-09-30,359.573,75.395,-17.232,2.603,6.078
2019-10-31,354.698,67.181,-25.799,3.834,10.184
