,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.108,1.368,26.008,455.095,2.831,514.938,1.107,2.185
2019-07-31,0.096,1.288,13.371,403.729,1.919,512.089,0.509,1.114
2019-08-31,0.075,1.023,13.393,452.318,2.013,500.434,0.476,0.927
2019-09-30,0.139,0.960,15.748,367.358,2.619,469.323,0.493,0.962
2019-10-31,0.223,1.482,25.328,341.107,2.128,415.842,1.939,3.446
