,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.465,386.690,94.100,1309.028,-6.353,1322.671,18.565,39.750
2019-07-31,0.496,385.850,95.900,1366.498,-2.610,1317.801,14.525,20.875
2019-08-31,0.484,386.300,92.700,1447.902,-5.283,1305.979,13.745,21.555
2019-09-30,0.563,386.040,93.700,1178.960,-6.496,1257.848,14.725,23.905
2019-10-31,0.773,383.840,83.967,1237.211,-16.043,1152.306,27.455,50.765
