,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.118,382.470,40.135,154.998,-14.165,241.421,6.895,11.770
2019-07-31,0.243,383.660,87.400,111.054,-11.720,219.699,2.934,5.889
2019-08-31,0.234,384.500,85.416,33.082,-12.975,141.008,4.316,7.831
2019-09-30,0.257,384.230,84.358,1.611,-14.709,20.920,3.199,6.014
2019-10-31,0.185,379.790,42.260,0.000,-21.709,0.000,14.363,24.218
