,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.140,382.416,46.065,407.743,-14.096,473.765,7.411,13.569
2019-07-31,0.250,383.564,79.153,348.248,-11.544,466.243,3.324,6.573
2019-08-31,0.233,384.423,77.675,338.067,-12.851,439.603,4.401,7.944
2019-09-30,0.278,384.070,79.434,280.548,-14.771,390.054,3.992,7.237
2019-10-31,0.302,379.668,46.537,230.340,-21.398,326.954,13.714,23.603
