,cloud,press,rh,sw,temp,toa,ws,ws_max
2019-06-30,0.263,463.279,58.297,346.356,-4.507,473.765,1.508,4.115
2019-07-31,0.375,463.670,86.678,290.090,-3.370,466.243,0.846,2.493
2019-08-31,0.264,464.871,84.737,323.640,-3.440,439.603,1.000,2.388
2019-09-30,0.349,465.073,81.243,255.098,-5.458,390.054,1.157,2.889
2019-10-31,0.352,462.726,37.596,213.430,-9.953,326.954,3.067,6.701
