,press,rh,temp,ws,ws_max
2019-06-30,362.390,86.500,-12.130,18.790,28.155
2019-07-31,361.570,97.800,-2.528,12.385,20.875
2019-08-31,361.850,90.900,-4.885,12.340,23.875
2019-09-30,361.680,92.900,-8.840,17.340,20.840
2019-10-31,359.120,83.300,-18.270,19.385,33.970
